"","baseMean","avg_log2FC","lfcSE","p_val","p_val_adj"
"Ly96",20.9982619762022,-0.000298885773737213,0.0236464705367878,0.640038034043469,0.999996982046982
"Mcm3",1025.88893513972,-0.000123057080427105,0.00570272053590946,0.594321710447711,0.999996982046982
"Paqr8",16.5794203206326,3.57413652008764e-05,0.023782633521545,0.954438516601933,0.999996982046982
"Tram2",51.5343621841355,-0.000181231566026408,0.0167434826122136,0.721438479961634,0.999996982046982
"Tmem14a",16.9511442562289,0.000337350874223272,0.0253891823286569,0.607310739774124,0.999996982046982
"Kcnq5",1841.79041748002,0.00201808500099895,0.022133551612353,0.0208120562950021,0.999996982046982
"Ogfrl1",66.1473661556722,-2.69905014162377e-05,0.0143437234102073,0.952212479053666,0.999996982046982
"Smap1",617.261448069663,-0.000151534805855374,0.00692583447107604,0.540212222777205,0.999996982046982
"Sdhaf4",186.029958281771,0.000271726978818933,0.0115946333283322,0.451377685116991,0.999996982046982
"Lmbrd1",141.639302208301,0.000213001690815286,0.0118830348741678,0.567553749825624,0.999996982046982
"Phf3",753.111624795825,1.09823605336341e-05,0.00574879636746467,0.960582129695011,0.999996982046982
"Prim2",341.487610987705,9.4436904044074e-05,0.00770750688010492,0.719444376079115,0.999996982046982
"Rab23",47.8184575016705,0.00015456891475833,0.0170557107901439,0.764852926246982,0.999996982046982
"Bag2",16.4735948969687,0.000126289504328182,0.0240906169623684,0.841190356039065,0.999996982046982
"Zfp451",263.29379761059,0.000401320943936692,0.01235461058049,0.290102301977523,0.999996982046982
"Dst",280.221740933076,0.000200438401938773,0.00930062027899697,0.506401017563731,0.999996982046982
"Gm37233",21.458437178075,-0.00019745647616463,0.0226862207992826,0.750861749351827,0.999996982046982
"Ccdc115",223.433779179761,-0.000108462088326381,0.00898685849148978,0.714550949703297,0.999996982046982
"Imp4",249.54230974693,8.76440632817173e-05,0.00845597443352987,0.756558929371386,0.999996982046982
"Ptpn18",1854.85293778684,-2.19105215879307e-05,0.00491236640338618,0.924345978043935,0.999996982046982
"Gm28417",27.8579306381242,-0.000219490640457112,0.0212386156425629,0.715666619351015,0.999996982046982
"Fam168b",228.666873458861,-0.00018056273860155,0.00969745306497882,0.563865414583644,0.999996982046982
"Plekhb2",114.22497548218,9.87351054708008e-05,0.0117024303588512,0.792164289411652,0.999996982046982
"Hs6st1",36.7399645025686,0.000163372626053714,0.0189070061191815,0.769870476912965,0.999996982046982
"Uggt1",572.849504930296,-9.08918142745786e-05,0.00649064452061212,0.700179731596955,0.999996982046982
"Neurl3",92.2246941298052,-0.00348346738785296,0.0534377224650737,0.0397603329227977,0.999996982046982
"Arid5a",573.833269631155,-6.09634285170253e-05,0.00627289853358731,0.791859730993727,0.999996982046982
"Kansl3",181.887587278309,0.000193523686586106,0.0106428162498624,0.567511530100749,0.999996982046982
"Lman2l",41.6338995984001,-0.000114969609851632,0.0176570660523823,0.828778852040095,0.999996982046982
"Cnnm4",44.6765806601395,0.00012124425796396,0.0175009395452122,0.818359219078509,0.999996982046982
"Cnnm3",69.6508942248578,-0.000133503906313099,0.0145371532716467,0.768043231988627,0.999996982046982
"Ankrd39",71.0188185129988,0.000119939467503901,0.0145516081521989,0.791466255287532,0.999996982046982
"Cox5b",1970.45917976951,6.50733597784339e-05,0.004907446639622,0.782238091061719,0.999996982046982
"Actr1b",85.863987862805,-0.000122929190941602,0.0133138779101698,0.769419864787906,0.999996982046982
"Zap70",346.243781506869,-0.000129207001123411,0.00787244068772904,0.628015378305666,0.999996982046982
"Tmem131",339.023599544865,4.0586106430314e-05,0.00733780545955073,0.873128716703079,0.999996982046982
"Inpp4a",105.930874812468,0.000202939517792418,0.0130055072584079,0.616850116264183,0.999996982046982
"Coa5",146.564029103883,0.000546489328835173,0.0166579884789652,0.26656516656153,0.999996982046982
"Unc50",215.292922914804,2.63062992900423e-05,0.00892204427815886,0.929476145065814,0.999996982046982
"Mgat4a",275.765950156859,-1.29307709392568e-05,0.00789987166156448,0.961667536429691,0.999996982046982
"Mitd1",364.299673733679,0.000111275081509153,0.00759389710713533,0.668655814395746,0.999996982046982
"Mrpl30",735.694336523394,6.77496222910719e-06,0.00573575777282819,0.9756585383854,0.999996982046982
"Txndc9",496.832768684445,-1.17125513432703e-05,0.00639768274467726,0.959824797588023,0.999996982046982
"Eif5b",1114.33356652749,0.000205281203724778,0.00620878274399508,0.407183081150389,0.999996982046982
"Rev1",269.440193175367,-2.79612953395259e-05,0.00807868861018343,0.918649335895877,0.999996982046982
"Pdcl3",311.941319359545,-0.000127748899352192,0.00814294990138849,0.640323650493711,0.999996982046982
"Npas2",58.4683458967956,0.000145405528235446,0.0159849091446483,0.766840613232782,0.999996982046982
"Rpl31",4533.56106250787,0.00026662088940355,0.00510194478511705,0.342367987802021,0.999996982046982
"Cnot11",170.14096411068,-0.000124723092178531,0.0101349615006442,0.703895560739874,0.999996982046982
"Rnf149",77.3110077248068,6.99749834835564e-06,0.0134819998016286,0.986928989936176,0.999996982046982
"Map4k4",576.772039516415,-6.27294282505287e-05,0.00626214754651346,0.785866905178431,0.999996982046982
"Il1rl2",17.8543498761925,0.000394856914789074,0.0257196436955122,0.553388796744521,0.999996982046982
"Il18r1",99.7816348682096,-0.00340233682697063,0.0508228299783744,0.0386744763527069,0.999996982046982
"Il18rap",61.5311019153824,-0.000463614395043793,0.0194343189372765,0.412647174776028,0.999996982046982
"Mrps9",441.924287803914,0.000223963255647041,0.00831927086560233,0.422174528976604,0.999996982046982
"Tgfbrap1",51.4114279502749,-1.82606677824779e-06,0.01611285928387,0.997062834094945,0.999996982046982
"AI597479",49.358092191674,-0.000139441461012042,0.0167572155832829,0.784489724904735,0.999996982046982
"Fhl2",21.3795949762744,-0.00111544844213019,0.0348678640356966,0.199284430558248,0.999996982046982
"Nck2",198.495541409138,-5.32625710562988e-05,0.00904747215691546,0.859188980563216,0.999996982046982
"Uxs1",238.703748145791,4.20608201553257e-05,0.0085215721141181,0.882972738618159,0.999996982046982
"Tpp2",1261.56548793851,4.17852734143785e-05,0.00516939630064203,0.852022825161158,0.999996982046982
"Tex30",256.735975795393,5.76031896829342e-05,0.00825669497220754,0.835912620473791,0.999996982046982
"Poglut2",43.7810299158101,-0.000287933418974217,0.0191825273190746,0.609262120177241,0.999996982046982
"Bivm",40.856131082313,8.11413762775641e-05,0.0175952595413603,0.878455367586621,0.999996982046982
