"","g0","g1","g2","g3","g4","g5","g6"
"Dpp10",0.00140023990798308,0.00213947534067174,0.00122196130541026,0.00165655727692575,0.00110494410163317,0.0005416214706117,0.004454545763211
"Actr3",7.48306051064069,7.93191340381155,6.74276190464103,7.89167802736272,7.45643326456419,8.21441127116719,8.58368906899391
"Gm57176",0.0436756582577989,0.0524792954607903,0.0316659740279878,0.0396103307678925,0.0303314877798309,0.0356241419736327,0.0868940922903002
"Gm28706",0,9.51147829982858e-05,5.79326157475124e-05,0.000167006100127956,0,0,0
"Slc35f5",0.00721909675456658,0.0122176030595936,0.00494545783918947,0.00734334532691238,0.00427994856627092,0.00558806145946851,0.00978691561751702
"Gpr39",0,5.99706422116943e-05,6.65394786711693e-05,0,0,0,0
"Lypd1",0.000187889271111084,0.000487055570643408,0.000306173811844482,0.00013417666948147,0.000147529997458796,0.000744225133560409,0
"Nckap5",0.0127567272845942,0.0167414167549448,0.0129491619799728,0.0110422990633509,0.0127830895934838,0.0177163745043976,0.0083461284505649
"Mgat5",0.89451955212227,1.30201372814788,0.846019248069595,0.71919484769316,0.547024481726759,0.725942581366851,0.561687275462479
"Tmem163",1.17983155481518,1.68122092954876,0.9697870405816,1.09586285722113,0.897034571269347,1.10826901881642,0.576759569512016
"Acmsd",0.000310506198332856,0.000213264829986671,0.000175220260780552,0.000174584298496739,0.000210910728343291,0,0.001988192126958
"2900009J06Rik",0.00675403739720655,0.00773513948884435,0.00990756433844048,0.00869099638722457,0.00597068852643847,0.00481589835938579,0.0134808705533546
"Ccnt2",0.458660943695644,0.495448322517478,0.50525434208782,0.44730648215979,0.532480971430123,0.47535081469168,0.690428317211217
"Map3k19",0.00387442175245203,0.00605458059863758,0.00459478761290594,0.00439982120940691,0.00100157480005001,0.00206735525091929,0.00839080963348336
"Rab3gap1",0.622850860006664,0.689364230660115,0.578256099668404,0.562298496066783,0.592501654470323,0.619640534491926,0.866441262298511
"Zranb3",0.185408269120522,0.0726172580977293,0.327324813755182,0.127767775973735,0.301942797702844,0.0886773102474505,0.105008074988722
"Gm28800",0.000517689759512065,0.00029277477519478,0.000590701203262077,0.000282508178288118,0.000241937727648281,0,0
"R3hdm1",1.41628687383107,1.38212597314408,1.45499163437203,1.4645791648981,1.33378809774477,1.33177192288139,1.58576357542604
"Ubxn4",1.31055359795513,1.48940242163762,1.10089081935229,1.41588633387024,1.28823536143601,1.67813758992572,1.6648846327348
"Lct",0.00307980114806175,0.00206019229264816,0.00639078339525875,0.00805274432694606,0.00363061377960042,0.00357429219645827,0.00351225806732215
"Mcm6",0.792438155502515,0.743059709021284,1.78254214371616,1.63393370450351,1.18022516728166,1.09027953258402,0.951238324644922
"Dars",1.27273901793411,1.25296526278564,1.30608648251973,1.30234051577251,1.32085847301774,1.44248047400872,1.05982599969598
"Cxcr4",0.0447751978304462,0.00577541353299994,0.0150655272667508,0.00728140909878709,0.018308595044085,0.0115782895196427,0.0362098364824283
"Thsd7b",0.000701336195169368,0.000586266292906896,0.000288121345988304,0.000690416086897979,0.00105128088921694,0.000425685451484544,0
"Gm36347",0.0002156884815215,0.000651628328591748,0.000186966736731018,0,0,0,0
"Cd55b",0.000414582599846417,0.000603011768877987,0,9.48054761804607e-05,0,0,0
"Cd55os",0.000249388242749506,9.62839924858432e-05,0,0,0,0.000687498418753637,0.00138731082282792
"Gm15675",0.0129988180376429,0.0213951672227291,0.00964228575017708,0.00596620333409872,0.00253914059247286,0.00613160239229773,0.0757012254575719
"Cd55",0.106168251092927,0.170063849198452,0.0562811060767691,0.0488384970318438,0.0363295136650605,0.0560965558359134,0.332426955844462
"Gm16083",0.00993907627273686,0.0148417333646215,0.00455600877216108,0.0058541058947788,0.00307436601516881,0.00993236235154535,0.0704319234616394
"Zp3r",0.000274098791028434,0.000733330087148055,0.000937441409207252,0.000600226887530534,0.000515052220681897,0,0.00316158826134651
"Pfkfb2",0.0287016370640548,0.0381532541827733,0.0323027778675587,0.0235280421465242,0.0333579344870378,0.0436277124042957,0.0305527590219583
"Yod1",0.0748906355048212,0.0762932444415838,0.0751167631682551,0.0832083876549265,0.076954949771069,0.0759333133275738,0.0755400921314325
"AA986860",0.00647055107852121,0.0074348868875387,0.00702301628858745,0.00761011660903799,0.00616377615776903,0.00326510239097379,0.00135629541470428
"Gm28857",8.52233007941281e-05,0.000108647921459025,0.000149185226439907,0,0,0,0
"Pigr",0,5.17270503423379e-05,0,0,0,0,0
"Fcmr",0.0979074161432482,0.113571951666476,0.0909384825622827,0.0782890077877057,0.0720810445974875,0.0940049903300764,0.0291477865662549
"Il24",0.486335153649403,1.84601437461828,0.366279804189466,0.359241301076539,0.164659690795734,0.275620957791876,0.075800392559509
"Il19",0.00283827930222384,0.00505415524898015,0.00116450124164753,0.00282846852873677,0.000386310619398215,0.00303247977619081,0.00075205159675595
"Il10",0.129364115535716,0.532522306577725,0.0959700599399704,0.100988875589643,0.0585279156654272,0.0882637447821223,0.014785798493834
"Mapkapk2",0.915966234735922,1.04321650431228,0.882109992115162,0.932769745597904,0.851928251923908,0.902524797718982,0.812737291268644
"Dyrk3",0.172880340725154,0.160719849077091,0.149797990872812,0.126284029056585,0.117053169497909,0.112174282333454,0.100303344461802
"Eif2d",0.442796089027004,0.444567063661586,0.474639799903347,0.398583202292716,0.379402445561427,0.355239126684354,0.337440889718476
"Rassf5",0.636142507593615,0.728654206953639,0.599371309870859,0.666244121782343,0.524876806744908,0.566987136182399,1.14120389533251
"Ikbke",0.169893434636009,0.256112861869782,0.11204956744252,0.118461756234999,0.101319481538297,0.171200196847189,0.797173248564157
"Gm28913",3.62123549711026e-05,0.00076178082611262,0.000206290156913325,0,0,0,0
"Srgap2",1.34314794694971,1.01935249340475,0.959614767426608,0.778527518625974,0.979364665302084,0.818830205604226,1.59248466384742
"Gm29488",0.0240044742921919,0.0168065129284035,0.0171569455381275,0.0150352336442387,0.0173019662488654,0.0155413844962649,0.0280157823431136
"Fam72a",0.22143646911393,0.0382273231015738,0.120057652664814,0.0728704124324013,0.157628401120052,0.0473455128585982,0.0419583965101179
"Ctse",0.267494358713081,0.363298023289193,0.239438231473551,0.292105378776146,0.182635118734392,0.262315980117836,0.824166714926378
"Rab7b",0.00028472851703582,0.000497566572114634,0.000532009714472739,0.000895405948735514,0,0,0
"Pm20d1",0.000538732655689542,0.000325471668554664,5.73881083391992e-05,0,0,0,0.00213271091785072
"Slc41a1",0.0337887008234703,0.0467773815884825,0.0368797552965713,0.0438951113942729,0.0306543936904919,0.0476928726936252,0.0574496296333286
"Rab29",0.153760457118505,0.16412366407781,0.146092686649859,0.142394827680348,0.124352159230659,0.166308316110811,0.267923645354092
"Nucks1",5.55429458301221,3.42689049502992,3.93000527869123,4.79239422213108,4.76189276166983,3.59042337925384,2.19501234891355
"Slc45a3",9.05570652192543e-05,6.01542258103015e-05,0,0,0,0,0
"Elk4",0.476480432643678,0.446087254488678,0.404048890154999,0.466179908404769,0.463153836679895,0.450301587956437,1.08138109658754
"Mfsd4a",0.0177603749611245,0.0198548142714657,0.0209796883003101,0.0189453709716537,0.0204761183661817,0.0205864698256239,0.0514399410871741
"Cdk18",3.95373669434164e-05,0.000248174152387613,0,0,0,0,0
"Lemd1",6.2739228599853e-05,0.000168537680662656,0.000124212235868646,5.92156449628893e-05,0.00018637748336348,0,0
"Nuak2",0.00519615308734674,0.00801646353350767,0.00822813816602033,0.0118981842230632,0.00649578223624987,0.00463745944432861,0.0148675584199378
"F730311O21Rik",0.00716948598956617,0.0173232089493249,0.00683358963108048,0.00896071682951995,0.0037769061385404,0.0112680129412524,0.0408472806194877
"Tmcc2",0.000111704234049296,0.000356944001254227,0.000135504254982897,0.000330733942391639,0,0,0
"Dstyk",0.025647144254355,0.035708287794144,0.0232529343337041,0.0239205961025472,0.0281939208688238,0.0452313703727344,0.0600702891049702
"6030442K20Rik",0.0357316340204703,0.0323894912648417,0.0542293046886144,0.044823457615786,0.0495247531174625,0.0439640045658022,0.0499313668355213
"Rbbp5",0.312015969032516,0.283665913165237,0.367033148287865,0.323655457684124,0.444101459598858,0.402422574459445,0.356559787475457
"Tmem81",0.00906534162414947,0.00796137662787869,0.010606261941656,0.00810780367829862,0.00953903449445281,0.00853861519419925,0.0113017528708193
"Cntn2",0.000226839001689951,0.000420111706402242,0.000430237171663365,0.000112669008018789,0.000281226908634299,0.00188612554730648,0
"Nfasc",0,6.25650989854944e-05,0,9.57402528643688e-05,0.000360537789594156,0.000368085174909474,0
"Lrrn2",0,0.000161987740729346,0,0,0,0,0
"Mdm4",1.49254405525215,1.32328124417476,1.27847325344218,1.04475431347785,1.50443998174526,1.48069266371461,2.06486058757351
"Pik3c2b",0.010886614976913,0.0115142516470561,0.0148738746928497,0.0177864944584049,0.00991010472781694,0.0102795369138465,0.013464306698948
"Gm28609",0.000145576840396502,0.000256905176044678,0.000395890772277442,0.000297118007487462,0.00033612189148373,0,0
"Ppp1r15b",0.527425926000714,0.45889498254835,0.530547640857878,0.511732569330577,0.570654821591907,0.474912530141808,0.382926618060741
"Plekha6",0.00645817668873797,0.0115784660474217,0.00486557723125881,0.00713443850813674,0.00349469934579887,0.00262424739070843,0.0173647189431036
"Etnk2",0,0.000146687182408356,0,0,0,0,0.00202787105984653
"Sox13",0.00052408518549939,0.00138409813032108,0.00090957627668993,0.00101521361662276,0.000403681053574103,0.000450435821431205,0.00144284216821664
"Snrpe",8.00904630836145,6.25245112899561,7.97378327885972,7.46293688840082,7.71748052385326,6.36625347123916,4.35593121675046
"Zc3h11a",0.0501106045924473,0.047877569334532,0.0471404207772425,0.0509619050429448,0.0448705472448141,0.0437447152749451,0.0723784861048281
"Zbed6",0.211367434324806,0.263707846351236,0.224767747864134,0.201750336400209,0.209037429581619,0.207528144519519,0.319554223656224
"Lax1",0.364782639987305,0.588297319958443,0.337433766187075,0.429517671260082,0.27501668560558,0.455337326044206,0.721230099353772
"Atp2b4",0.268280075198291,0.294124540381014,0.166095088418298,0.160688240025944,0.134820319529954,0.148472141431964,0.270569550448673
"Gm28441",0.000394220326365246,0.000463548986526951,0.000236515022389378,8.10908917639971e-05,0,0.00139477572286152,0
"Gm19497",0.0054073272613358,0.0100585937829166,0.00309114980247474,0.00241088312670772,0.00320024245027107,0.00558130244504732,0.011705669109459
"Gm57140",0.000303759543236975,0.00013595748627583,8.18436694249075e-05,5.29495232777038e-05,0,0,0.00587656853468765
"Btg2",0.342901089996141,0.472230704036379,0.224455319009547,0.17654193012228,0.2233404128657,0.33801385840199,0.869237283124748
"Gm31974",0.000380359141739028,0.000212921198526907,6.35394804849414e-05,0,0,0.00038810528706518,0
"Chit1",0.000224442243212652,0.000509887971607138,0.000193977300778323,0.000151977576597323,0.000141315242156033,0.00106934701331205,0
"Chil1",3.03262478026549e-05,4.61856662304523e-05,5.69999286816892e-05,0,0.000217617082070474,0.000443280861734449,0
"Ppfia4",0.000208143896427936,0.000336308805565583,0.000219063279143876,0.000169715153142103,0.000150291979743647,0.000477672489207707,0.00130269906218695
"Gm57107",0.000723025450866043,0.000968353833840602,0.000587650686069973,0.000407972439420799,0.000676123623531586,0.00117142890722505,0.00344579565455289
"Tmem183a",0.372235524524995,0.360204362857308,0.371694695148654,0.377595318600608,0.347752133743307,0.368978700725132,0.282992036382019
"Cyb5r1",0.178216908769253,0.113372923959002,0.220307173870273,0.173279660550432,0.822592219586443,0.828055112679351,0.0854890416712196
"Adipor1",0.73622634021929,0.751881461324527,0.671775129073524,0.685893193285697,0.700060348952716,0.708967787708254,0.680641705288756
"Platr1",0.00102416210880619,0.00120494041792307,0.000863421169386237,0.00124910202082514,0.000585664980792121,0.000828450204194929,0.00336256058483545
"Klhl12",0.146883820105201,0.141750404627321,0.159501278229891,0.143800163548635,0.177393508410462,0.172163945876413,0.262227234066377
"Rabif",0.26157443927088,0.267312449727994,0.250539560250097,0.289835478195205,0.262255032535865,0.25800394382995,0.280487377782275
"Mgat4e",0.000439552304909936,0.000495922515197058,0.000461601233013001,0.000737037379426775,0.000213018747247398,0.000386155595913964,0
"Kdm5b",0.314138006657664,0.851587784987374,0.170328305646745,0.300809707379736,0.256844018020588,0.74131853195422,0.783618972112865
"Syt2",0.000271174081104512,7.08435333852702e-05,0.00151481548920269,0.000643932141988904,0,0,0
"Ppp1r12b",0.268216132397654,0.188555704091283,0.255125726306617,0.179971573838501,0.25378359574193,0.201638158933832,0.364748489158193
"Gm28892",0.000247465828019897,7.0649153815303e-05,0.000120294121302614,9.80322486689157e-05,0.000237462147049622,0,0.00112745927053385
"Ube2t",0.441897526210782,0.0625482563620636,0.383379699222759,0.159141459986023,0.453407291349337,0.0962390936823859,0.0580141079029434
