"","baseMean","avg_log2FC","lfcSE","p_val","p_val_adj"
"Chd7",7238.2163256774,-0.323158469561303,0.158249039402831,0.000108349776938239,0.0117327329884551
"Crmp1",114.870485252506,0.798875714202666,0.623602381316788,0.000114988284808038,0.0123341207383716
"Morf4l1",13972.0465284303,-0.271956531431383,0.125730238966955,0.000124832407837132,0.0132649016552167
"Adgre5",714.118092406417,0.471838235330838,0.270728624781222,0.000126580860116562,0.0133261516622714
"Racgap1",2099.84696586135,0.333759250760699,0.17312134764114,0.000136750298945584,0.0142646871468926
"Gzmb",11108.4899179504,-0.761439504727836,0.635072204602243,0.000139163117544921,0.0143844058771432
"Fcmr",405.625387453414,-0.548824953637975,0.357622412310384,0.000142033301572349,0.0144332837175209
"Cdk6",23444.3126238214,-0.2418967726481,0.10523606051682,0.000142174826417092,0.0144332837175209
"Kcnn4",1463.21010134277,0.362097378148804,0.195264590687023,0.000144100912413677,0.0144993572933053
"Ccn3",272.261497467074,-0.551702412568226,0.374078240959196,0.000155494176306358,0.0155084981105552
"Tet2",2584.8244428469,-0.312969017784297,0.164466419484712,0.000164431060773094,0.0162572274868703
"Il18rap",412.458828601976,-0.492159827655663,0.320607469397699,0.00017248560352589,0.0169065630352532
"Pilrb1",144.96930183167,-0.69356909922785,0.607155908807356,0.000176678142951891,0.0171694913278889
"Gpld1",179.362805265494,-0.668806046359824,0.565920619850035,0.000178439212533512,0.0171936766653054
"Pde5a",125.686904512479,0.704529187511476,0.663149600619781,0.000186844857612216,0.0177035502587574
"Entpd1",1402.85086518036,-0.362578447522802,0.207918585224976,0.00018643467243669,0.0177035502587574
"Fry",152.793111651183,0.649614951584677,0.554449652272447,0.000190107248557894,0.0178637968272996
"Creld2",2072.55021558273,-0.349923159682762,0.199413640692943,0.000192247137258497,0.0179168028740091
"Gm43305",82.7656703212418,-0.698156798665965,0.680179493639854,0.000195652047952695,0.0180858844327004
"Dnmt3b",413.953210843001,-0.46286986721635,0.309235958619213,0.000205876114490437,0.0188775114657764
"Esyt2",4118.74095153305,0.271104566692677,0.14154334970419,0.000228458758646174,0.020780608686456
"Rassf3",928.973233376879,0.356787597875618,0.217017286126211,0.000239329028142681,0.0215965956347801
"Ifi206",460.640456184057,-0.430354980722043,0.295766772150833,0.000252852444010516,0.0226372621133824
"Csgalnact1",525.014441046394,-0.442387321093528,0.312988102246417,0.000258170857228514,0.0229171493947459
"Cxcr6",167.669953820978,-0.567596356873114,0.510155721878734,0.000260009874399492,0.0229171493947459
"Cd8a",561.371775527322,-0.412316906652774,0.280944055051375,0.000267187264341567,0.0233686091966432
"Rabgap1l",15856.0142379753,0.243998553706841,0.122471725308711,0.000272860096224048,0.023682590031049
"Ifit1",506.539809378684,-0.399295079805559,0.272130601600521,0.00028319685606646,0.0243935473748156
"Dot1l",1638.08473812288,-0.315638088938545,0.191991544442473,0.000297521867667552,0.02543476417579
"Psma5",13458.1662228548,-0.240662936374974,0.122387091033169,0.000303313662635363,0.0257363906280901
"Dtl",3776.62806539559,0.260729129820694,0.142915225587843,0.000314656414889821,0.0259766582161828
"Rasa3",1565.46280853873,0.308957238778061,0.189113235833202,0.000317568644859227,0.0259766582161828
"Calhm6",1788.4876261348,-0.313119994157742,0.192561254450256,0.000314545741307674,0.0259766582161828
"Nudcd2",5242.76514403998,-0.266991562081724,0.14845339804589,0.000310781445513435,0.0259766582161828
"Fyb",12523.505515418,0.223004491355271,0.106576674574536,0.000317421999447338,0.0259766582161828
"Ndrg1",744.81777994701,0.390856600482503,0.277200191244403,0.000326923653668321,0.0265508710157772
"Pacsin1",157.485715991413,0.511463216743349,0.476749214408944,0.000329872491828078,0.0266003562559237
"Aqp9",601.012666230011,-0.361496390545965,0.248403504937298,0.000346324542413089,0.0277303524453297
"Fam229b",264.957873461496,-0.46233590375701,0.401291300624112,0.000355462309958665,0.0280667115571529
"Slfn1",13736.6752790307,-0.214699187098012,0.101277927943422,0.000354719273370716,0.0280667115571529
"Ehd3",440.981746092855,-0.394142574317057,0.293013928327278,0.000360439610980604,0.0282634370817205
"Ramp1",608.332329369513,0.372240501345505,0.267267279611655,0.000369269144021843,0.0285618378743425
"Usp6nl",499.440992904876,0.396026352160543,0.298592437896148,0.000368618358675178,0.0285618378743425
"Dctpp1",3657.43833052773,-0.277641633835309,0.167311700192926,0.000380182085206075,0.0292072318161694
