"","g0","g1","g2","g3","g4","g5","g6","g7","g8","g9","g10","g11","g12","g13"
"Itgam",0.0016,0.0019,6e-04,0.0022,8e-04,0.0045,4e-04,0.0016,8e-04,0.001,0.0019,0.0089,0.0035,0.0028
"Mki67",12.6997,9.8073,7.5349,3.6698,1.6519,0.5214,7.6933,9.9633,1.4667,8.3251,8.5784,9.9769,13.134,5.6604
"Maf",0.0116,0.0265,0.1224,0.0319,0.3211,0.0974,0.0762,0.0175,0.0734,2.0046,0.0465,0.1445,0.1464,0.1371
"Cd3g",4.0211,4.3351,4.2959,4.484,5.1934,5.7131,5.1988,4.0803,0.3555,6.673,3.9601,2.1874,2.0574,5.2718
"Cd3d",4.2825,4.4611,4.1177,4.6834,4.9056,5.9653,5.3966,4.3761,1.0346,4.7511,4.0354,3.2301,1.4811,3.7967
"Cd3e",4.0846,4.3454,3.8021,4.4937,4.5251,5.4215,4.7284,4.161,0.6524,4.7543,3.3243,2.3153,4.1408,3.7415
"Eomes",0.5119,0.7922,2.6442,0.8232,2.8283,0.5648,0.9645,0.7324,0.8596,0.0645,0.7126,0.5012,0.6407,2.0937
"Cx3cr1",0.0077,0.0058,0.0059,0.0091,0.0069,0.0084,0.008,0.0062,6e-04,0.0158,0.0124,0.1112,0.0185,0.0034
"Prdm1",0.0602,0.0601,0.1458,0.0954,0.2526,0.0921,0.158,0.0482,0.0533,0.3197,0.0992,0.276,0.232,0.1222
"Prf1",0.0037,0.0054,0.6653,0.0053,1.5286,0.0108,0.0099,0.0049,0.0379,0.014,0.0036,0.0276,0.0582,0.9662
"Ifng",0.0014,0.0016,0.078,0.0018,0.1769,0.0022,0.4682,7e-04,0.0148,0.0275,0.0038,0.0697,0,0.0715
"Havcr2",0.0013,0.0011,0.1447,0.0037,0.506,0.0036,0.0673,0.0013,0.0296,0.0054,0.0064,0.0277,0.1007,0.1987
"Tcf7",0.7894,0.6601,0.198,0.7564,0.2352,1.4365,0.7657,0.7606,0.3133,0.6483,0.637,0.7896,0.7037,0.3947
"Csf2",0.0075,0.017,0.0644,0.0133,0.2991,0.0358,1.1516,0.0095,0.0626,0.0323,0.0768,0.6153,0.053,0.1272
"Tbx21",0.1686,0.1677,0.1751,0.1435,0.2247,0.2174,0.5606,0.1287,0.0898,0.1809,0.2198,0.3883,0.1818,0.2495
"Top2a",21.0227,15.7971,10.7638,1.881,1.182,0.8656,10.6365,14.2636,13.2976,10.5918,11.0564,6.3826,16.5379,7.3786
"Ccr7",0.6264,0.5233,0.1234,0.4228,0.145,0.8855,0.3618,0.4036,0.0224,0.2594,0.3281,0.6904,0.265,0.0608
"Birc5",5.1377,3.8089,3.8295,2.694,1.54,0.238,2.8934,5.5875,5.1121,3.1504,2.9317,2.6278,2.6648,3.1111
