miRNA,gene,gene_type,region,state,rep,coverage
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,39.1342180658812
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,39.1342180658812
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,39.1342180658812
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,39.1342180658812
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,39.1342180658812
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,39.1342180658812
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,39.1342180658812
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,39.1342180658812
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,39.1342180658812
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,39.1342180658812
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,39.1342180658812
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,39.1342180658812
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,39.1342180658812
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,39.1342180658812
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,39.1342180658812
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,39.1342180658812
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,39.1342180658812
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,39.1342180658812
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,39.1342180658812
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,39.1342180658812
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,39.1342180658812
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,39.1342180658812
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,39.1342180658812
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,39.1342180658812
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,39.1342180658812
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,39.1342180658812
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,39.1342180658812
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,39.1342180658812
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,39.1342180658812
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,39.1342180658812
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,39.1342180658812
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,39.1342180658812
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,39.1342180658812
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,39.1342180658812
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,39.1342180658812
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,39.1342180658812
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,39.1342180658812
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,39.1342180658812
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,39.1342180658812
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,39.1342180658812
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,39.1342180658812
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,39.1342180658812
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,39.1342180658812
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,39.1342180658812
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,39.1342180658812
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,39.1342180658812
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,39.1342180658812
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,39.1342180658812
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,39.1342180658812
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,39.1342180658812
mmu-miR-29c-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,7.644425806767
mmu-miR-29c-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,7.644425806767
mmu-miR-29c-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,7.644425806767
mmu-miR-29c-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,7.644425806767
mmu-miR-29c-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,7.644425806767
mmu-miR-29c-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,7.644425806767
mmu-miR-29c-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,7.644425806767
mmu-miR-29c-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,7.644425806767
mmu-miR-29c-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,7.644425806767
mmu-miR-29c-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,7.644425806767
mmu-miR-29c-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,7.644425806767
mmu-miR-29c-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,7.644425806767
mmu-miR-29c-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,7.644425806767
mmu-miR-29c-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,7.644425806767
mmu-miR-29c-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,7.644425806767
mmu-miR-29c-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,7.644425806767
mmu-miR-29c-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,7.644425806767
mmu-miR-29c-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,7.644425806767
mmu-miR-29c-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,7.644425806767
mmu-miR-29c-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,7.644425806767
mmu-miR-29c-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,7.644425806767
mmu-miR-29c-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,7.644425806767
mmu-miR-29c-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,7.644425806767
mmu-miR-29c-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,7.644425806767
mmu-miR-29c-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,7.644425806767
mmu-miR-29c-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,7.644425806767
mmu-miR-29c-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,7.644425806767
mmu-miR-29c-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,7.644425806767
mmu-miR-29c-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,7.644425806767
mmu-miR-29c-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,7.644425806767
mmu-miR-29c-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,7.644425806767
mmu-miR-29c-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,7.644425806767
mmu-miR-29c-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,7.644425806767
mmu-miR-29c-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,7.644425806767
mmu-miR-29c-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,7.644425806767
mmu-miR-29c-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,7.644425806767
mmu-miR-29c-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,7.644425806767
mmu-miR-29c-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,7.644425806767
mmu-miR-29c-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,7.644425806767
mmu-miR-29c-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,7.644425806767
mmu-miR-29c-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,7.644425806767
mmu-miR-29c-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,7.644425806767
mmu-miR-29c-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,7.644425806767
mmu-miR-29c-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,7.644425806767
mmu-miR-29c-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,7.644425806767
mmu-miR-29c-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,7.644425806767
mmu-miR-29c-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,7.644425806767
mmu-miR-29c-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,7.644425806767
mmu-miR-29c-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,7.644425806767
mmu-miR-29c-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,7.644425806767
mmu-miR-29a-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,12.4227455934603
mmu-miR-29a-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,12.4227455934603
mmu-miR-29a-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,12.4227455934603
mmu-miR-29a-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,12.4227455934603
mmu-miR-29a-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,12.4227455934603
mmu-miR-29a-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,12.4227455934603
mmu-miR-29a-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,12.4227455934603
mmu-miR-29a-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,12.4227455934603
mmu-miR-29a-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,12.4227455934603
mmu-miR-29a-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,12.4227455934603
mmu-miR-29a-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,12.4227455934603
mmu-miR-29a-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,12.4227455934603
mmu-miR-29a-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,12.4227455934603
mmu-miR-29a-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,12.4227455934603
mmu-miR-29a-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,12.4227455934603
mmu-miR-29a-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,12.4227455934603
mmu-miR-29a-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,12.4227455934603
mmu-miR-29a-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,12.4227455934603
mmu-miR-29a-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,12.4227455934603
mmu-miR-29a-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,12.4227455934603
mmu-miR-29a-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,12.4227455934603
mmu-miR-29a-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,12.4227455934603
mmu-miR-29a-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,12.4227455934603
mmu-miR-29a-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,12.4227455934603
mmu-miR-29a-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,12.4227455934603
mmu-miR-29a-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,12.4227455934603
mmu-miR-29a-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,12.4227455934603
mmu-miR-29a-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,12.4227455934603
mmu-miR-29a-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,12.4227455934603
mmu-miR-29a-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,12.4227455934603
mmu-miR-29a-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,12.4227455934603
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,4.03242453864326
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,4.03242453864326
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,4.03242453864326
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,4.03242453864326
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,4.03242453864326
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,4.03242453864326
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,4.03242453864326
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,4.03242453864326
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,4.03242453864326
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,4.03242453864326
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,4.03242453864326
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,4.03242453864326
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,4.03242453864326
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,4.03242453864326
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,4.03242453864326
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,4.03242453864326
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,4.03242453864326
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,4.03242453864326
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,4.03242453864326
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,4.03242453864326
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,4.03242453864326
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,4.03242453864326
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,4.03242453864326
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,4.03242453864326
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,4.03242453864326
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,4.03242453864326
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,4.03242453864326
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,4.03242453864326
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,4.03242453864326
