state,miRNA,gene,n_clusters,coverage,regions
Tn,mmu-miR-466i-5p,Tnrc6b,5,56.6187942763432,"3' UTR,intron"
Tn,mmu-miR-142a-3p,Tnrc6b,1,7.79505010709372,CDS
Tn,mmu-miR-466i-5p,Mrtfa,9,214.590963844826,intron
Tn,mmu-miR-466i-5p,Tcf20,1,4.49411764705882,intron
Tn,mmu-miR-466i-5p,Zbed4,1,5.71304203499582,intron
Tn,mmu-miR-30d-5p,Sbf1,1,10.5952695560254,3' UTR
Tn,mmu-miR-466i-5p,Hdac7,2,8.58289721867008,intron
Tn,mmu-miR-466i-5p,Ccnt1,1,9.93983361552408,3' UTR
Tn,mmu-miR-466i-5p,Arf3,2,45.835052653495,3' UTR
Tn,mmu-miR-3473b,Rhebl1,1,8.5,intron
Tn,mmu-miR-466i-5p,Dip2b,1,6.05289250825878,3' UTR
Tn,mmu-miR-466f-3p,Bin2,1,7.42857142857143,3' UTR
Tn,mmu-miR-466i-5p,Coro7,1,6.40805623318725,intron
Tn,mmu-miR-466i-5p,1810013L24Rik,1,4.47407097425685,intron
Tn,mmu-miR-150-5p,Lrch3,1,4.43283582089552,ncRNA_exon
Tn,mmu-miR-466i-5p,Gsk3b,1,11.9211085183139,3' UTR
Tn,mmu-miR-3473b,Zbtb20,1,42.0416199016022,intron
Tn,mmu-miR-690,Zbtb20,1,8.59619047801144,intron
Tn,mmu-miR-466i-5p,Sidt1,2,16.2744128673028,intron
Tn,mmu-miR-466i-5p,Cblb,1,3.74831754108459,intron
Tn,mmu-miR-466i-5p,Cep97,1,14.9585168603301,3' UTR
Tn,mmu-miR-142a-3p,Cmss1,1,11.8489704109305,intron
Tn,mmu-miR-466i-5p,D16Ertd472e,1,8.17782910360375,3' UTR
Tn,mmu-miR-466i-5p,Grik1,1,13.0217704824613,intron
Tn,mmu-miR-466i-5p,Runx1,20,273.261864410092,intron
Tn,mmu-miR-466i-5p,Dyrk1a,1,8.06855362626978,intron
Tn,mmu-miR-466i-5p,Arid1b,1,6.85854175423847,intron
Tn,mmu-miR-92a-3p,Tagap,1,9.76957131572703,3' UTR
Tn,mmu-miR-466i-5p,Lnpep,2,63.3017476058052,3' UTR
Tn,mmu-miR-26a-5p,Atp6v0e,1,28.370952057749,3' UTR
Tn,mmu-miR-26b-5p,Atp6v0e,1,27.3372599490196,3' UTR
Tn,mmu-miR-466i-5p,Pacsin1,1,4,intron
Tn,mmu-miR-466i-5p,Def6,2,25.9523974240982,intron
Tn,mmu-miR-26a-5p,Pim1,1,31.4665914760287,3' UTR
Tn,mmu-miR-466i-5p,Tbc1d22b,1,12.6555983625807,3' UTR
Tn,mmu-miR-466i-5p,Zfp871,4,27.4806976554389,3' UTR
Tn,mmu-miR-466i-5p,Vps52,1,3.41914340448823,intron
Tn,mmu-miR-342-3p,Ltb,1,42.410661622272,3' UTR
Tn,mmu-miR-3473a,H2-D1,1,8.31168975713267,3' UTR
Tn,mmu-miR-466i-5p,Enpp4,1,6.29462064676617,3' UTR
Tn,mmu-miR-3473b,Ccnd3,1,5.89375,ncRNA_exon
Tn,mmu-miR-466h-3p,Ccnd3,3,16.6457008769638,intron
Tn,mmu-miR-466i-5p,Ccnd3,15,236.547256236379,intron
Tn,mmu-miR-466i-5p,Plcl2,2,12.0801358402052,intron
Tn,mmu-miR-3473b,Plcl2,1,3.96164772727273,intron
Tn,mmu-miR-466f-3p,Plcl2,2,17.340019361008,intron
Tn,mmu-miR-466i-5p,Satb1,1,6.32045020906914,intron
Tn,mmu-miR-466i-5p,Vav1,1,4.52314953015293,intron
Tn,mmu-miR-466i-5p,Crim1,2,9.27655554880697,"3' UTR,intron"
Tn,mmu-miR-466i-5p,Thada,2,17.3825961803888,intron
Tn,mmu-miR-466i-5p,Ppm1b,2,9.47700426400956,intron
Tn,mmu-miR-466i-5p,Zeb1,2,11.264869559505,intron
Tn,mmu-miR-466i-5p,Wdr33,1,11.2968482445474,intron
Tn,mmu-miR-466i-5p,Camk4,3,14.9060248678995,intron
