state,gene,n_miRNAs,total_clusters,total_cov
Tn,Dcaf12,1,1,16.7019122944929
Tn,Utrn,1,2,16.5495845946983
Tn,Ablim1,1,2,16.3207525872561
Tn,Sidt1,1,2,16.2744128673028
Tn,Fam168b,1,1,16.2644610798553
Tn,Ppp1r16b,1,3,16.028140742097
Tn,Xiap,1,1,15.9496032344564
Tn,Larp1,1,1,15.8808475509043
Tn,Cd8b1,1,1,15.5718700755956
Tn,Nsg2,1,2,15.5563971005712
Tn,Mbd2,1,2,15.3049228479998
Tn,Abca7,1,1,15.2797600787381
Tn,mt-Co1,1,2,15.0323691209618
Tn,Cep97,1,1,14.9585168603301
Tn,Camk4,1,3,14.9060248678995
Tn,Epsti1,1,3,14.7302891836722
Tn,Eif4g3,1,2,14.6613931378584
Tn,Mtpn,1,2,14.5596031454332
Tn,Klc1,1,3,14.5266870105561
Tn,Cd6,1,2,14.4975656417767
Tn,Cdk17,1,2,14.372854606476
Tn,Arhgap30,1,2,14.2604408365405
Tn,Etf1,1,1,14.1262626262626
Tn,Wbp1l,1,2,13.6246753246753
Tn,Mcmbp,1,2,13.4794916684332
Tn,Foxn3,1,3,13.365875872579
Tn,Gimap3,1,2,13.3256477208871
Tn,Prkca,1,3,13.2628242194551
Tn,Grik1,1,1,13.0217704824613
Tn,Foxo1,1,2,12.7680491977644
Tn,Xrcc4,1,1,12.664686482592
Tn,Tbc1d22b,1,1,12.6555983625807
Tn,Trim56,1,1,12.5217320261438
Tn,Cfl2,1,1,12.5
Tn,Elmo1,1,2,12.4430978132449
Tn,Nfatc1,1,2,12.3008850743223
Tn,Tet3,1,1,12.2551757576811
Tn,Cpm,1,2,12.1733161510076
Tn,Adrb2,1,1,12
Tn,Gsk3b,1,1,11.9211085183139
Tn,Adam19,1,2,11.9042947886251
Tn,Cmss1,1,1,11.8489704109305
Tn,Fyn,1,2,11.6716660533596
Tn,Trim14,1,2,11.6184895908424
Tn,Cdc7,1,1,11.5
Tn,Smyd3,1,1,11.4176439232409
Tn,Klhl21,1,2,11.3683553731554
Tn,Hpcal1,1,2,11.3678524769476
Tn,Wdr33,1,1,11.2968482445474
Tn,Zeb1,1,2,11.264869559505
Tn,Rab8b,1,1,11.0678322608629
Tn,Gid4,1,1,10.7775009147728
Tn,Thy1,1,1,10.741975405496
Tn,Fam120a,1,1,10.6638087488949
Tn,Hipk1,1,1,10.6263741260711
Tn,Sbf1,1,1,10.5952695560254
Tn,Peli1,1,1,10.5221563680745
Tn,Elovl5,1,2,10.5014833362545
Tn,Rras2,1,2,10.4900975225696
Tn,Iqch,1,1,10.4757158366084
Tn,Msl1,1,1,10.4724582971462
Tn,Slc12a7,1,1,10.4545851161922
Tn,Lrrc8c,1,2,10.3908884797457
Tn,Hcfc2,1,1,10.3732885373108
Tn,Rps5,1,1,10.3694478486366
