miRNA,stateA,stateB,nA,nB,shared,jaccard
mmu-miR-25-3p,Tn,Tmem,1,3,1,0.333333333333333
mmu-miR-25-3p,Teff,Tmem,1,3,1,0.333333333333333
mmu-miR-25-3p,Tmem,Tex,3,1,1,0.333333333333333
mmu-miR-191-5p,Tn,Teff,1,3,1,0.333333333333333
mmu-let-7i-5p,Tmem,Tex,12,4,4,0.333333333333333
mmu-miR-652-3p,Teff,Tmem,1,3,1,0.333333333333333
mmu-miR-142a-3p,Teff,Tex,26,16,11,0.354838709677419
mmu-miR-26b-5p,Teff,Tmem,4,11,4,0.363636363636364
mmu-miR-466f-3p,Tn,Teff,20,24,12,0.375
mmu-miR-342-3p,Tn,Tmem,4,7,3,0.375
mmu-miR-466f-3p,Tmem,Tex,27,13,11,0.379310344827586
mmu-miR-155-5p,Tmem,Tex,15,10,7,0.388888888888889
mmu-let-7d-5p,Tn,Teff,2,5,2,0.4
mmu-miR-30c-5p,Teff,Tmem,2,5,2,0.4
mmu-miR-30c-5p,Tmem,Tex,5,2,2,0.4
mmu-miR-30e-5p,Teff,Tmem,2,5,2,0.4
mmu-miR-15a-5p,Tn,Teff,3,4,2,0.4
mmu-miR-3473b,Teff,Tmem,4,3,2,0.4
mmu-miR-191-5p,Tmem,Tex,5,2,2,0.4
mmu-miR-17-5p,Tn,Teff,2,5,2,0.4
mmu-miR-21a-5p,Teff,Tex,4,3,2,0.4
mmu-miR-92a-3p,Teff,Tex,11,9,6,0.428571428571429
mmu-let-7a-5p,Tn,Tex,6,4,3,0.428571428571429
mmu-miR-3473b,Teff,Tex,4,6,3,0.428571428571429
mmu-miR-21a-5p,Tmem,Tex,7,3,3,0.428571428571429
mmu-miR-92a-3p,Tn,Teff,12,11,7,0.4375
mmu-miR-15b-5p,Teff,Tmem,9,17,8,0.444444444444444
mmu-miR-26b-5p,Tn,Tmem,8,11,6,0.461538461538462
mmu-let-7i-5p,Teff,Tmem,7,12,6,0.461538461538462
mmu-miR-466i-5p,Teff,Tmem,75,96,56,0.486956521739131
mmu-miR-26a-5p,Teff,Tmem,2,4,2,0.5
mmu-miR-26a-5p,Tmem,Tex,4,2,2,0.5
mmu-miR-342-3p,Teff,Tmem,5,7,4,0.5
mmu-miR-27a-3p,Tn,Teff,4,2,2,0.5
mmu-miR-26b-5p,Tn,Teff,8,4,4,0.5
mmu-miR-26b-5p,Teff,Tex,4,2,2,0.5
mmu-let-7d-5p,Teff,Tex,5,4,3,0.5
mmu-miR-30e-5p,Teff,Tex,2,1,1,0.5
mmu-miR-3960,Tn,Teff,2,1,1,0.5
mmu-miR-466h-3p,Tn,Tmem,2,1,1,0.5
mmu-miR-466h-3p,Tn,Tex,2,1,1,0.5
mmu-miR-24-3p,Tn,Teff,9,6,5,0.5
mmu-miR-690,Tn,Teff,1,2,1,0.5
mmu-miR-690,Tn,Tmem,1,2,1,0.5
mmu-miR-191-5p,Tn,Tex,1,2,1,0.5
mmu-miR-484,Tn,Teff,1,2,1,0.5
mmu-miR-17-5p,Tn,Tex,2,1,1,0.5
mmu-miR-378a-3p,Tn,Teff,2,1,1,0.5
mmu-miR-378a-3p,Tn,Tex,2,1,1,0.5
mmu-miR-378a-3p,Teff,Tmem,1,2,1,0.5
mmu-miR-378a-3p,Tmem,Tex,2,1,1,0.5
mmu-miR-15b-5p,Tn,Teff,11,9,7,0.538461538461538
mmu-miR-466f-3p,Teff,Tex,24,13,13,0.541666666666667
mmu-miR-21a-5p,Teff,Tmem,4,7,4,0.571428571428571
mmu-let-7i-5p,Teff,Tex,7,4,4,0.571428571428571
mmu-miR-466f-3p,Teff,Tmem,24,27,19,0.59375
mmu-let-7a-5p,Teff,Tex,4,4,3,0.6
mmu-miR-191-5p,Teff,Tmem,3,5,3,0.6
mmu-let-7a-5p,Tn,Teff,6,4,4,0.666666666666667
mmu-miR-690,Teff,Tex,2,3,2,0.666666666666667
mmu-miR-690,Tmem,Tex,2,3,2,0.666666666666667
mmu-miR-191-5p,Teff,Tex,3,2,2,0.666666666666667
mmu-miR-34a-5p,Teff,Tmem,2,3,2,0.666666666666667
mmu-miR-34a-5p,Tmem,Tex,3,2,2,0.666666666666667
mmu-miR-744-5p,Teff,Tmem,2,3,2,0.666666666666667
mmu-miR-20a-5p,Teff,Tex,4,3,3,0.75
mmu-miR-342-3p,Tn,Teff,4,5,4,0.8
mmu-miR-3535,Tn,Teff,1,1,1,1
mmu-miR-3535,Tn,Tmem,1,1,1,1
mmu-miR-3535,Tn,Tex,1,1,1,1
mmu-miR-3535,Teff,Tmem,1,1,1,1
mmu-miR-3535,Teff,Tex,1,1,1,1
mmu-miR-3535,Tmem,Tex,1,1,1,1
mmu-miR-26a-5p,Teff,Tex,2,2,2,1
mmu-miR-30d-5p,Teff,Tmem,1,1,1,1
mmu-miR-30c-5p,Teff,Tex,2,2,2,1
mmu-miR-466h-3p,Tmem,Tex,1,1,1,1
mmu-miR-7a-5p,Tn,Teff,1,1,1,1
mmu-miR-219a-5p,Tn,Teff,1,1,1,1
mmu-miR-219a-5p,Tn,Tmem,1,1,1,1
mmu-miR-219a-5p,Teff,Tmem,1,1,1,1
mmu-miR-25-3p,Tn,Teff,1,1,1,1
mmu-miR-25-3p,Tn,Tex,1,1,1,1
mmu-miR-25-3p,Teff,Tex,1,1,1,1
mmu-miR-378a-3p,Tn,Tmem,2,2,2,1
mmu-miR-378a-3p,Teff,Tex,1,1,1,1
mmu-miR-5121,Tn,Teff,1,1,1,1
mmu-miR-5121,Tn,Tmem,1,1,1,1
mmu-miR-5121,Tn,Tex,1,1,1,1
mmu-miR-5121,Teff,Tmem,1,1,1,1
mmu-miR-5121,Teff,Tex,1,1,1,1
mmu-miR-5121,Tmem,Tex,1,1,1,1
mmu-miR-703,Tn,Tmem,1,1,1,1
mmu-miR-324-5p,Teff,Tmem,1,1,1,1
mmu-miR-21a-3p,Teff,Tmem,1,1,1,1
mmu-miR-301a-3p,Teff,Tex,1,1,1,1
mmu-miR-34a-5p,Teff,Tex,2,2,2,1
mmu-miR-33-5p,Teff,Tmem,1,1,1,1
mmu-miR-33-5p,Teff,Tex,1,1,1,1
mmu-miR-33-5p,Tmem,Tex,1,1,1,1
mmu-miR-106b-3p,Teff,Tmem,1,1,1,1
mmu-miR-147-3p,Teff,Tex,1,1,1,1
mmu-miR-185-5p,Teff,Tmem,1,1,1,1
mmu-miR-185-5p,Teff,Tex,1,1,1,1
mmu-miR-185-5p,Tmem,Tex,1,1,1,1
mmu-miR-1198-5p,Teff,Tmem,1,1,1,1
mmu-miR-150-3p,Teff,Tmem,1,1,1,1
mmu-miR-677-5p,Tmem,Tex,1,1,1,1
