"human","mouse","support_n","method","set_name","in_object"
"ELP5","Elp5",11,"babelgene","Combined_R",TRUE
"EMC10","Emc10",10,"babelgene","Combined_R",TRUE
"EMC3","Emc3",11,"babelgene","Combined_R",TRUE
"EMC4","Emc4",12,"babelgene","Combined_R",TRUE
"EMC6","Emc6",12,"babelgene","Combined_R",TRUE
"EMC7","Emc7",12,"babelgene","Combined_R",TRUE
"EMD","Emd",12,"babelgene","Combined_R",TRUE
"EML4","Eml4",12,"babelgene","Combined_R",TRUE
"EML5","Eml5",12,"babelgene","Combined_R",TRUE
"ENC1","Enc1",11,"babelgene","Combined_R",TRUE
"ENO1","Eno1",12,"babelgene","Combined_R",TRUE
"ENTPD1","Entpd1",12,"babelgene","Combined_R",TRUE
"EOMES","Eomes",12,"babelgene","Combined_R",TRUE
"EPB41","Epb41",11,"babelgene","Combined_R",TRUE
"EPC1","Epc1",12,"babelgene","Combined_R",TRUE
"EPHA4","Epha4",11,"babelgene","Combined_R",FALSE
"EPSTI1","Epsti1",10,"babelgene","Combined_R",TRUE
"ERF","Erf",12,"babelgene","Combined_R",TRUE
"ERH","Erh",11,"babelgene","Combined_R",TRUE
"ERLEC1","Erlec1",12,"babelgene","Combined_R",TRUE
"ERMN","Ermn",12,"babelgene","Combined_R",TRUE
"ERP29","Erp29",12,"babelgene","Combined_R",TRUE
"ERP44","Erp44",12,"babelgene","Combined_R",TRUE
"ESPN","Espn",10,"babelgene","Combined_R",TRUE
"ETF1","Etf1",12,"babelgene","Combined_R",TRUE
"EVI2A","Evi2a",9,"babelgene","Combined_R",TRUE
"EVL","Evl",12,"babelgene","Combined_R",TRUE
"EZR","Ezr",12,"babelgene","Combined_R",TRUE
"FABP5","Fabp5",11,"babelgene","Combined_R",TRUE
"FADD","Fadd",12,"babelgene","Combined_R",TRUE
"FAM118A","Fam118a",12,"babelgene","Combined_R",TRUE
"FAM177A1","Fam177a",7,"babelgene","Combined_R",TRUE
"FAM32A","Fam32a",12,"babelgene","Combined_R",TRUE
"FAM3C","Fam3c",12,"babelgene","Combined_R",TRUE
"FAM53C","Fam53c",11,"babelgene","Combined_R",TRUE
"FAM78A","Fam78a",12,"babelgene","Combined_R",TRUE
"FARSA","Farsa",12,"babelgene","Combined_R",TRUE
"FAS","Fas",11,"babelgene","Combined_R",TRUE
"FASLG","Fasl",11,"babelgene","Combined_R",TRUE
"FAU","Fau",11,"babelgene","Combined_R",TRUE
"FBXO32","Fbxo32",12,"babelgene","Combined_R",TRUE
"FBXW2","Fbxw2",11,"babelgene","Combined_R",TRUE
"FCGR3A","Fcgr4",7,"babelgene","Combined_R",TRUE
"FDPS","Fdps",12,"babelgene","Combined_R",TRUE
"FGD3","Fgd3",12,"babelgene","Combined_R",TRUE
"FGFR1","Fgfr1",12,"babelgene","Combined_R",TRUE
"FIP1L1","Fip1l1",9,"babelgene","Combined_R",TRUE
"FIS1","Fis1",10,"babelgene","Combined_R",TRUE
"FKBP11","Fkbp11",12,"babelgene","Combined_R",TRUE
"FKBP1A","Fkbp1a",8,"babelgene","Combined_R",TRUE
"FKBP2","Fkbp2",10,"babelgene","Combined_R",TRUE
"FKBP4","Fkbp4",12,"babelgene","Combined_R",TRUE
"FKBP5","Fkbp5",11,"babelgene","Combined_R",TRUE
"FLT3LG","Flt3l",11,"babelgene","Combined_R",TRUE
"FNTA","Fnta",12,"babelgene","Combined_R",TRUE
"FOS","Fos",12,"babelgene","Combined_R",TRUE
"FOSB","Fosb",12,"babelgene","Combined_R",TRUE
"FOSL1","Fosl1",12,"babelgene","Combined_R",TRUE
"FOSL2","Fosl2",11,"babelgene","Combined_R",TRUE
"FOXG1","Foxg1",11,"babelgene","Combined_R",FALSE
"FOXP1","Foxp1",9,"babelgene","Combined_R",TRUE
"FRG1","Frg1",11,"babelgene","Combined_R",TRUE
"FSTL5","Fstl5",12,"babelgene","Combined_R",TRUE
"FURIN","Furin",11,"babelgene","Combined_R",TRUE
"FUS","Fus",11,"babelgene","Combined_R",TRUE
"FUT8","Fut8",11,"babelgene","Combined_R",TRUE
"FXN","Fxn",12,"babelgene","Combined_R",TRUE
"FXYD2","Fxyd2",8,"babelgene","Combined_R",TRUE
"FYN","Fyn",11,"babelgene","Combined_R",TRUE
"G3BP1","G3bp1",11,"babelgene","Combined_R",TRUE
"G3BP2","G3bp2",12,"babelgene","Combined_R",TRUE
"G6PD","G6pdx",11,"babelgene","Combined_R",TRUE
"GAB3","Gab3",11,"babelgene","Combined_R",TRUE
"GABARAP","Gabarap",11,"babelgene","Combined_R",TRUE
"GABARAPL1","Gabarapl1",10,"babelgene","Combined_R",TRUE
"GABARAPL2","Gabarapl2",12,"babelgene","Combined_R",TRUE
"GABRG3","Gabrg3",11,"babelgene","Combined_R",TRUE
"GADD45B","Gadd45b",12,"babelgene","Combined_R",TRUE
"GADD45G","Gadd45g",12,"babelgene","Combined_R",TRUE
"GADD45GIP1","Gadd45gip1",12,"babelgene","Combined_R",TRUE
"GALM","Galm",12,"babelgene","Combined_R",TRUE
"GALNT13","Galnt13",12,"babelgene","Combined_R",TRUE
"GALNT2","Galnt2",11,"babelgene","Combined_R",TRUE
"GALNTL6","Galntl6",10,"babelgene","Combined_R",TRUE
"GAPDH","Gapdh",9,"babelgene","Combined_R",TRUE
"GATA3","Gata3",12,"babelgene","Combined_R",TRUE
"GATC","Gatc",10,"babelgene","Combined_R",TRUE
"GBP2","Gbp2",8,"babelgene","Combined_R",TRUE
"GBP4","Gbp3",9,"babelgene","Combined_R",TRUE
"GBP5","Gbp5",7,"babelgene","Combined_R",TRUE
"GCC2","Gcc2",11,"babelgene","Combined_R",TRUE
"GCDH","Gcdh",11,"babelgene","Combined_R",TRUE
"GCHFR","Gchfr",12,"babelgene","Combined_R",TRUE
"GEM","Gem",12,"babelgene","Combined_R",TRUE
"GEMIN8","Gemin8",12,"babelgene","Combined_R",TRUE
"GFRA2","Gfra2",11,"babelgene","Combined_R",TRUE
"GGA2","Gga2",12,"babelgene","Combined_R",TRUE
"GID8","Gid8",12,"babelgene","Combined_R",TRUE
"GIMAP4","Gimap4",10,"babelgene","Combined_R",TRUE
"GIMAP5","Gimap5",8,"babelgene","Combined_R",TRUE
"GIMAP7","Gimap7",11,"babelgene","Combined_R",TRUE
"GLA","Gla",11,"babelgene","Combined_R",TRUE
"GLCCI1","Glcci1",12,"babelgene","Combined_R",TRUE
"GLG1","Glg1",12,"babelgene","Combined_R",TRUE
"GLIPR2","Glipr2",12,"babelgene","Combined_R",TRUE
"GLOD4","Glod4",12,"babelgene","Combined_R",TRUE
"GLS","Gls",11,"babelgene","Combined_R",TRUE
"GLUD1","Glud1",11,"babelgene","Combined_R",TRUE
"GLUL","Glul",12,"babelgene","Combined_R",TRUE
"GMFG","Gmfg",11,"babelgene","Combined_R",TRUE
"GNAI2","Gnai2",11,"babelgene","Combined_R",TRUE
"GNG2","Gng2",11,"babelgene","Combined_R",TRUE
"GNG5","Gng5",12,"babelgene","Combined_R",TRUE
"GNL1","Gnl1",11,"babelgene","Combined_R",TRUE
"GOLGA4","Golga4",12,"babelgene","Combined_R",TRUE
"GOLGA8B","Golga2",4,"babelgene","Combined_R",TRUE
"GOLIM4","Golim4",12,"babelgene","Combined_R",TRUE
"GPBP1","Gpbp1",12,"babelgene","Combined_R",TRUE
"GPCPD1","Gpcpd1",12,"babelgene","Combined_R",TRUE
"GPD1L","Gpd1l",12,"babelgene","Combined_R",TRUE
"GPR12","Gpr12",12,"babelgene","Combined_R",FALSE
"GPR155","Gpr155",12,"babelgene","Combined_R",TRUE
"GPR171","Gpr171",12,"babelgene","Combined_R",TRUE
"GPR183","Gpr183",12,"babelgene","Combined_R",TRUE
"GPR65","Gpr65",12,"babelgene","Combined_R",TRUE
"GPR89A","Gpr89",9,"babelgene","Combined_R",TRUE
"GPSM3","Gpsm3",11,"babelgene","Combined_R",TRUE
"GRAMD1A","Gramd1a",12,"babelgene","Combined_R",TRUE
"GRAP","Grap",11,"babelgene","Combined_R",TRUE
"GRSF1","Grsf1",12,"babelgene","Combined_R",TRUE
"GRXCR1","Grxcr1",12,"babelgene","Combined_R",TRUE
"GSPT1","Gspt1",11,"babelgene","Combined_R",TRUE
"GSTM1","Gstm2",8,"babelgene","Combined_R",TRUE
"GSTO1","Gsto1",12,"babelgene","Combined_R",TRUE
"GSTO2","Gsto2",9,"babelgene","Combined_R",TRUE
"GSTP1","Gstp1",10,"babelgene","Combined_R",TRUE
"GTF2A2","Gtf2a2",11,"babelgene","Combined_R",TRUE
"GTF2B","Gtf2b",12,"babelgene","Combined_R",TRUE
"GTF2F1","Gtf2f1",11,"babelgene","Combined_R",TRUE
"GTF2IRD2B","Gtf2ird2",8,"babelgene","Combined_R",TRUE
"GTF3C1","Gtf3c1",12,"babelgene","Combined_R",TRUE
"GTF3C6","Gtf3c6",12,"babelgene","Combined_R",TRUE
"GYG1","Gyg",11,"babelgene","Combined_R",TRUE
"GYPC","Gypc",10,"babelgene","Combined_R",TRUE
"GZMA","Gzma",12,"babelgene","Combined_R",TRUE
"GZMB","Gzmb",8,"babelgene","Combined_R",TRUE
"GZMH","Gzmc",4,"babelgene","Combined_R",TRUE
"GZMK","Gzmk",12,"babelgene","Combined_R",TRUE
"GZMM","Gzmm",12,"babelgene","Combined_R",TRUE
"HACD3","Hacd3",11,"babelgene","Combined_R",TRUE
"HAUS3","Haus3",12,"babelgene","Combined_R",TRUE
"HAVCR2","Havcr2",12,"babelgene","Combined_R",TRUE
"HAX1","Hax1",12,"babelgene","Combined_R",TRUE
"HBP1","Hbp1",12,"babelgene","Combined_R",TRUE
"HCLS1","Hcls1",10,"babelgene","Combined_R",TRUE
"HCST","Hcst",10,"babelgene","Combined_R",TRUE
"HDAC1","Hdac1",12,"babelgene","Combined_R",TRUE
"HDLBP","Hdlbp",12,"babelgene","Combined_R",TRUE
"HERPUD1","Herpud1",11,"babelgene","Combined_R",TRUE
"HERPUD2","Herpud2",12,"babelgene","Combined_R",TRUE
"HGSNAT","Hgsnat",11,"babelgene","Combined_R",TRUE
"HIF1A","Hif1a",12,"babelgene","Combined_R",TRUE
"HINT1","Hint1",12,"babelgene","Combined_R",TRUE
"HLA-C","H2-Q10",4,"babelgene","Combined_R",TRUE
"HLA-DMA","H2-DMa",12,"babelgene","Combined_R",TRUE
"HLA-DQA1","H2-Aa",9,"babelgene","Combined_R",TRUE
"HLA-DQA2","H2-Aa",6,"babelgene","Combined_R",TRUE
"HLA-DQB1","H2-Ab1",8,"babelgene","Combined_R",TRUE
"HLA-DRA","H2-Ea",6,"babelgene","Combined_R",TRUE
"HLA-DRB5","H2-Eb1",6,"babelgene","Combined_R",TRUE
"HLA-F","H2-M3",4,"babelgene","Combined_R",TRUE
"HM13","H13",12,"babelgene","Combined_R",TRUE
"HMGB1","Hmgb1",9,"babelgene","Combined_R",TRUE
"HMGB2","Hmgb2",11,"babelgene","Combined_R",TRUE
"HMGN1","Hmgn1",9,"babelgene","Combined_R",TRUE
"HMGN2","Hmgn2",6,"babelgene","Combined_R",TRUE
"HMGN3","Hmgn3",9,"babelgene","Combined_R",TRUE
"HNRNPA0","Hnrnpa0",12,"babelgene","Combined_R",TRUE
"HNRNPLL","Hnrnpll",12,"babelgene","Combined_R",TRUE
"HNRNPM","Hnrnpm",11,"babelgene","Combined_R",TRUE
"HNRNPR","Hnrnpr",12,"babelgene","Combined_R",TRUE
"HNRNPU","Hnrnpu",12,"babelgene","Combined_R",TRUE
"HNRNPUL1","Hnrnpul1",12,"babelgene","Combined_R",TRUE
"HOXC13","Hoxc13",12,"babelgene","Combined_R",FALSE
"HPGD","Hpgd",11,"babelgene","Combined_R",FALSE
"HRH4","Hrh4",12,"babelgene","Combined_R",TRUE
"HSBP1","Hsbp1",12,"babelgene","Combined_R",TRUE
"HSD17B10","Hsd17b10",12,"babelgene","Combined_R",TRUE
"HSH2D","Hsh2d",11,"babelgene","Combined_R",TRUE
"HSP90AA1","Hsp90aa1",11,"babelgene","Combined_R",TRUE
"HSP90AB1","Hsp90ab1",11,"babelgene","Combined_R",TRUE
"HSP90B1","Hsp90b1",12,"babelgene","Combined_R",TRUE
"HSPA1A","Hspa1a",9,"babelgene","Combined_R",TRUE
"HSPA1B","Hspa1a",7,"babelgene","Combined_R",TRUE
"HSPA5","Hspa5",12,"babelgene","Combined_R",TRUE
"HSPA8","Hspa8",12,"babelgene","Combined_R",TRUE
"HSPB1","Hspb1",12,"babelgene","Combined_R",TRUE
"HSPB11","Hspb11",12,"babelgene","Combined_R",TRUE
"HSPD1","Hspd1",11,"babelgene","Combined_R",TRUE
"HSPE1","Hspe1",11,"babelgene","Combined_R",TRUE
"HSPH1","Hsph1",12,"babelgene","Combined_R",TRUE
"HTATIP2","Htatip2",11,"babelgene","Combined_R",TRUE
"ICAM2","Icam2",12,"babelgene","Combined_R",TRUE
"ICOS","Icos",12,"babelgene","Combined_R",TRUE
"ID2","Id2",11,"babelgene","Combined_R",TRUE
"IDI1","Idi1",11,"babelgene","Combined_R",TRUE
"IDS","Ids",10,"babelgene","Combined_R",TRUE
"IER2","Ier2",11,"babelgene","Combined_R",TRUE
"IER5","Ier5",12,"babelgene","Combined_R",TRUE
"IER5L","Ier5l",12,"babelgene","Combined_R",TRUE
"IFFO2","Iffo2",12,"babelgene","Combined_R",TRUE
"IFI16","Ifi205",6,"babelgene","Combined_R",FALSE
"IFI27","Ifi27",3,"babelgene","Combined_R",TRUE
"IFI27L2","Ifi27l2a",5,"babelgene","Combined_R",TRUE
"IFI35","Ifi35",12,"babelgene","Combined_R",TRUE
"IFI44","Ifi44",10,"babelgene","Combined_R",TRUE
"IFI44L","Ifi44l",9,"babelgene","Combined_R",TRUE
"IFITM1","Ifitm1",7,"babelgene","Combined_R",TRUE
"IFITM2","Ifitm2",7,"babelgene","Combined_R",TRUE
"IFITM3","Ifitm3",8,"babelgene","Combined_R",TRUE
"IFNAR2","Ifnar2",7,"babelgene","Combined_R",TRUE
"IFNG","Ifng",12,"babelgene","Combined_R",TRUE
"IFNGR1","Ifngr1",11,"babelgene","Combined_R",TRUE
"IFRD1","Ifrd1",11,"babelgene","Combined_R",TRUE
"IGFLR1","Igflr1",12,"babelgene","Combined_R",TRUE
"IK","Ik",11,"babelgene","Combined_R",TRUE
"IKZF1","Ikzf1",11,"babelgene","Combined_R",TRUE
"IL10RA","Il10ra",12,"babelgene","Combined_R",TRUE
"IL12RB1","Il12rb1",11,"babelgene","Combined_R",TRUE
"IL12RB2","Il12rb2",12,"babelgene","Combined_R",TRUE
"IL13","Il13",11,"babelgene","Combined_R",TRUE
"IL15","Il15",12,"babelgene","Combined_R",TRUE
"IL16","Il16",11,"babelgene","Combined_R",TRUE
"IL17RA","Il17ra",12,"babelgene","Combined_R",TRUE
"IL21R","Il21r",12,"babelgene","Combined_R",TRUE
"IL24","Il24",11,"babelgene","Combined_R",TRUE
"IL2RB","Il2rb",12,"babelgene","Combined_R",TRUE
"IL4R","Il4ra",12,"babelgene","Combined_R",TRUE
"IL5","Il5",11,"babelgene","Combined_R",TRUE
"IL7R","Il7r",11,"babelgene","Combined_R",TRUE
"IL9R","Il9r",11,"babelgene","Combined_R",TRUE
"ILF2","Ilf2",12,"babelgene","Combined_R",TRUE
"ILK","Ilk",12,"babelgene","Combined_R",TRUE
"IMMP2L","Immp2l",12,"babelgene","Combined_R",TRUE
"IMP3","Imp3",12,"babelgene","Combined_R",TRUE
"IMPDH2","Impdh2",11,"babelgene","Combined_R",TRUE
"INMT","Inmt",12,"babelgene","Combined_R",FALSE
"INPP4B","Inpp4b",12,"babelgene","Combined_R",TRUE
"INSIG1","Insig1",12,"babelgene","Combined_R",TRUE
"IQGAP2","Iqgap2",12,"babelgene","Combined_R",TRUE
"IRF1","Irf1",11,"babelgene","Combined_R",TRUE
"IRF2","Irf2",12,"babelgene","Combined_R",TRUE
"IRF2BP2","Irf2bp2",11,"babelgene","Combined_R",TRUE
"IRF7","Irf7",12,"babelgene","Combined_R",TRUE
"ISCA1","Isca1",10,"babelgene","Combined_R",TRUE
"ISCU","Iscu",11,"babelgene","Combined_R",TRUE
"ISG15","Isg15",10,"babelgene","Combined_R",TRUE
"ISG20","Isg20",12,"babelgene","Combined_R",TRUE
"ITGA1","Itga1",11,"babelgene","Combined_R",TRUE
"ITGA4","Itga4",12,"babelgene","Combined_R",TRUE
"ITGA6","Itga6",11,"babelgene","Combined_R",TRUE
"ITGAE","Itgae",11,"babelgene","Combined_R",TRUE
"ITGAM","Itgam",12,"babelgene","Combined_R",TRUE
"ITGB1","Itgb1",12,"babelgene","Combined_R",TRUE
"ITGB1BP1","Itgb1bp1",12,"babelgene","Combined_R",TRUE
"ITGB2","Itgb2",11,"babelgene","Combined_R",TRUE
"ITM2A","Itm2a",12,"babelgene","Combined_R",TRUE
"ITM2C","Itm2c",12,"babelgene","Combined_R",TRUE
"ITPR1","Itpr1",11,"babelgene","Combined_R",TRUE
"IVNS1ABP","Ivns1abp",12,"babelgene","Combined_R",TRUE
"JAK1","Jak1",12,"babelgene","Combined_R",TRUE
"JAML","Jaml",10,"babelgene","Combined_R",TRUE
"JMJD1C","Jmjd1c",11,"babelgene","Combined_R",TRUE
"JMJD6","Jmjd6",12,"babelgene","Combined_R",TRUE
"JMY","Jmy",12,"babelgene","Combined_R",TRUE
"JOSD1","Josd1",11,"babelgene","Combined_R",TRUE
"JTB","Jtb",12,"babelgene","Combined_R",TRUE
"JUN","Jun",12,"babelgene","Combined_R",TRUE
"JUNB","Junb",11,"babelgene","Combined_R",TRUE
"JUND","Jund",12,"babelgene","Combined_R",TRUE
"KBTBD2","Kbtbd2",11,"babelgene","Combined_R",TRUE
"KCNA3","Kcna3",12,"babelgene","Combined_R",TRUE
"KCNS2","Kcns2",12,"babelgene","Combined_R",FALSE
"KDELR2","Kdelr2",12,"babelgene","Combined_R",TRUE
"KDM2A","Kdm2a",12,"babelgene","Combined_R",TRUE
"KDM5A","Kdm5a",10,"babelgene","Combined_R",TRUE
"KDM6B","Kdm6b",12,"babelgene","Combined_R",TRUE
"KEL","Kel",12,"babelgene","Combined_R",TRUE
"KIAA0825","2210408I21Rik",9,"babelgene","Combined_R",TRUE
"KIF27","Kif27",12,"babelgene","Combined_R",TRUE
"KIR2DL1","Kir3dl1",5,"babelgene","Combined_R",TRUE
"KIR2DL4","Kir3dl2",6,"babelgene","Combined_R",TRUE
"KIT","Kit",11,"babelgene","Combined_R",TRUE
"KLF2","Klf2",11,"babelgene","Combined_R",TRUE
"KLF6","Klf6",12,"babelgene","Combined_R",TRUE
"KLHDC2","Klhdc2",11,"babelgene","Combined_R",TRUE
"KLHDC4","Klhdc4",11,"babelgene","Combined_R",TRUE
"KLHL22","Klhl22",10,"babelgene","Combined_R",TRUE
"KLRB1","Klrb1a",9,"babelgene","Combined_R",TRUE
"KLRC1","Klrc1",10,"babelgene","Combined_R",TRUE
"KLRC2","Klrc1",5,"babelgene","Combined_R",TRUE
"KLRC3","Klrc3",6,"babelgene","Combined_R",TRUE
"KLRC4","Klrc3",4,"babelgene","Combined_R",TRUE
"KLRD1","Klrd1",9,"babelgene","Combined_R",TRUE
"KLRG1","Klrg1",12,"babelgene","Combined_R",TRUE
"KPNA1","Kpna1",12,"babelgene","Combined_R",TRUE
"KPNA2","Kpna2",11,"babelgene","Combined_R",TRUE
"KRI1","Kri1",11,"babelgene","Combined_R",TRUE
"KRT72","Krt72",12,"babelgene","Combined_R",FALSE
"KRT77","Krt77",12,"babelgene","Combined_R",FALSE
"KRT86","Krt86",9,"babelgene","Combined_R",FALSE
"KRTCAP2","Krtcap2",11,"babelgene","Combined_R",TRUE
"LAG3","Lag3",12,"babelgene","Combined_R",TRUE
"LAMP1","Lamp1",11,"babelgene","Combined_R",TRUE
"LAMP3","Lamp3",11,"babelgene","Combined_R",TRUE
"LAMTOR1","Lamtor1",11,"babelgene","Combined_R",TRUE
"LAMTOR2","Lamtor2",12,"babelgene","Combined_R",TRUE
"LAMTOR3","Lamtor3",11,"babelgene","Combined_R",TRUE
"LAMTOR5","Lamtor5",12,"babelgene","Combined_R",TRUE
"LAP3","Lap3",12,"babelgene","Combined_R",TRUE
"LAPTM4A","Laptm4a",12,"babelgene","Combined_R",TRUE
"LAYN","Layn",11,"babelgene","Combined_R",TRUE
"LCP2","Lcp2",12,"babelgene","Combined_R",TRUE
"LDHA","Ldha",12,"babelgene","Combined_R",TRUE
"LDLRAD4","Ldlrad4",11,"babelgene","Combined_R",TRUE
"LEF1","Lef1",12,"babelgene","Combined_R",TRUE
"LEPROTL1","Leprotl1",11,"babelgene","Combined_R",TRUE
"LGALS3","Lgals3",11,"babelgene","Combined_R",TRUE
"LGALS9","Lgals9",9,"babelgene","Combined_R",TRUE
"LHPP","Lhpp",12,"babelgene","Combined_R",TRUE
"LIMD2","Limd2",10,"babelgene","Combined_R",TRUE
"LIPA","Lipa",11,"babelgene","Combined_R",TRUE
"LITAF","Litaf",12,"babelgene","Combined_R",TRUE
"LMAN2","Lman2",11,"babelgene","Combined_R",TRUE
"LMNA","Lmna",12,"babelgene","Combined_R",TRUE
"LOC728392","6330403K07Rik",4,"babelgene","Combined_R",TRUE
"LPAR5","Lpar5",12,"babelgene","Combined_R",TRUE
"LRIF1","Lrif1",11,"babelgene","Combined_R",TRUE
"LRP10","Lrp10",11,"babelgene","Combined_R",TRUE
"LRP1B","Lrp1b",11,"babelgene","Combined_R",TRUE
"LRPAP1","Lrpap1",10,"babelgene","Combined_R",TRUE
"LRRC41","Lrrc41",12,"babelgene","Combined_R",TRUE
"LRRC47","Lrrc47",12,"babelgene","Combined_R",TRUE
"LRRC4C","Lrrc4c",12,"babelgene","Combined_R",TRUE
"LRRFIP2","Lrrfip2",10,"babelgene","Combined_R",TRUE
"LRRN3","Lrrn3",11,"babelgene","Combined_R",TRUE
"LRRTM4","Lrrtm4",12,"babelgene","Combined_R",TRUE
"LSM1","Lsm1",12,"babelgene","Combined_R",TRUE
"LSM10","Lsm10",11,"babelgene","Combined_R",TRUE
"LSM3","Lsm3",12,"babelgene","Combined_R",TRUE
"LSM5","Lsm5",12,"babelgene","Combined_R",TRUE
"LSM6","Lsm6",12,"babelgene","Combined_R",TRUE
"LSM7","Lsm7",11,"babelgene","Combined_R",TRUE
"LSM8","Lsm8",12,"babelgene","Combined_R",TRUE
"LSP1","Lsp1",12,"babelgene","Combined_R",TRUE
"LTB","Ltb",12,"babelgene","Combined_R",TRUE
"LY86","Ly86",12,"babelgene","Combined_R",TRUE
"LY9","Ly9",11,"babelgene","Combined_R",TRUE
"LYAR","Lyar",12,"babelgene","Combined_R",TRUE
"LYN","Lyn",12,"babelgene","Combined_R",TRUE
"LYST","Lyst",11,"babelgene","Combined_R",TRUE
"LYZL6","Lyzl6",11,"babelgene","Combined_R",FALSE
"MAF","Maf",11,"babelgene","Combined_R",TRUE
"MAGED2","Maged2",12,"babelgene","Combined_R",TRUE
"MAGEE1","Magee1",12,"babelgene","Combined_R",TRUE
"MAGOH","Magoh",12,"babelgene","Combined_R",TRUE
"MAP1LC3A","Map1lc3a",12,"babelgene","Combined_R",TRUE
"MAP1LC3B","Map1lc3b",8,"babelgene","Combined_R",TRUE
"MAP2K2","Map2k2",11,"babelgene","Combined_R",TRUE
"MAP3K8","Map3k8",11,"babelgene","Combined_R",TRUE
"MAPK1IP1L","Mapk1ip1l",10,"babelgene","Combined_R",TRUE
"MAPRE1","Mapre1",12,"babelgene","Combined_R",TRUE
"MARCKSL1","Marcksl1",12,"babelgene","Combined_R",TRUE
"MAT2A","Mat2a",12,"babelgene","Combined_R",TRUE
"MAT2B","Mat2b",12,"babelgene","Combined_R",TRUE
"MATK","Matk",12,"babelgene","Combined_R",TRUE
"MBP","Mbp",12,"babelgene","Combined_R",TRUE
"MCL1","Mcl1",12,"babelgene","Combined_R",TRUE
"MCM2","Mcm2",12,"babelgene","Combined_R",TRUE
"MCM4","Mcm4",11,"babelgene","Combined_R",TRUE
"MCM6","Mcm6",12,"babelgene","Combined_R",TRUE
"MCOLN2","Mcoln2",12,"babelgene","Combined_R",TRUE
"MDH1","Mdh1",12,"babelgene","Combined_R",TRUE
"MEA1","Mea1",12,"babelgene","Combined_R",TRUE
"MEAF6","Meaf6",12,"babelgene","Combined_R",TRUE
"MED10","Med10",11,"babelgene","Combined_R",TRUE
"MED12L","Med12l",12,"babelgene","Combined_R",TRUE
"MED28","Med28",12,"babelgene","Combined_R",TRUE
"MED30","Med30",12,"babelgene","Combined_R",TRUE
"MED4","Med4",12,"babelgene","Combined_R",TRUE
"METRNL","Metrnl",12,"babelgene","Combined_R",TRUE
"METTL7A","Mettl7a1",8,"babelgene","Combined_R",TRUE
"MFNG","Mfng",12,"babelgene","Combined_R",TRUE
"MGAT4A","Mgat4a",12,"babelgene","Combined_R",TRUE
"MGST3","Mgst3",12,"babelgene","Combined_R",TRUE
"MIA3","Mia3",9,"babelgene","Combined_R",TRUE
"MIDN","Midn",12,"babelgene","Combined_R",TRUE
"MKI67","Mki67",11,"babelgene","Combined_R",TRUE
"MLEC","Mlec",10,"babelgene","Combined_R",TRUE
"MLLT3","Mllt3",12,"babelgene","Combined_R",TRUE
"MMADHC","Mmadhc",12,"babelgene","Combined_R",TRUE
"MORF4L2","Morf4l2",11,"babelgene","Combined_R",TRUE
"MPHOSPH8","Mphosph8",10,"babelgene","Combined_R",TRUE
"MRFAP1","Mrfap1",10,"babelgene","Combined_R",TRUE
"MRFAP1L1","Mrfap1",5,"babelgene","Combined_R",TRUE
"MRGPRX3","Mrgpra1",6,"babelgene","Combined_R",TRUE
"MRPL10","Mrpl10",12,"babelgene","Combined_R",TRUE
"MRPL13","Mrpl13",12,"babelgene","Combined_R",TRUE
"MRPL16","Mrpl16",12,"babelgene","Combined_R",TRUE
"MRPL17","Mrpl17",12,"babelgene","Combined_R",TRUE
"MRPL18","Mrpl18",11,"babelgene","Combined_R",TRUE
"MRPL20","Mrpl20",12,"babelgene","Combined_R",TRUE
"MRPL21","Mrpl21",11,"babelgene","Combined_R",TRUE
"MRPL22","Mrpl22",12,"babelgene","Combined_R",TRUE
"MRPL28","Mrpl28",12,"babelgene","Combined_R",TRUE
"MRPL33","Mrpl33",10,"babelgene","Combined_R",TRUE
"MRPL4","Mrpl4",12,"babelgene","Combined_R",TRUE
"MRPL41","Mrpl41",10,"babelgene","Combined_R",TRUE
"MRPL43","Mrpl43",11,"babelgene","Combined_R",TRUE
"MRPL47","Mrpl47",12,"babelgene","Combined_R",TRUE
"MRPL51","Mrpl51",12,"babelgene","Combined_R",TRUE
"MRPL52","Mrpl52",11,"babelgene","Combined_R",TRUE
"MRPL55","Mrpl55",11,"babelgene","Combined_R",TRUE
"MRPL57","Mrpl57",12,"babelgene","Combined_R",TRUE
"MRPL9","Mrpl9",12,"babelgene","Combined_R",TRUE
"MRPS12","Mrps12",12,"babelgene","Combined_R",TRUE
"MRPS15","Mrps15",12,"babelgene","Combined_R",TRUE
"MRPS16","Mrps16",11,"babelgene","Combined_R",TRUE
"MRPS18C","Mrps18c",12,"babelgene","Combined_R",TRUE
"MRPS2","Mrps2",12,"babelgene","Combined_R",TRUE
"MRPS26","Mrps26",12,"babelgene","Combined_R",TRUE
"MRPS36","Mrps36",11,"babelgene","Combined_R",TRUE
"MRPS6","Mrps6",11,"babelgene","Combined_R",TRUE
"MRPS7","Mrps7",12,"babelgene","Combined_R",TRUE
"MT1F","Mt1",4,"babelgene","Combined_R",TRUE
"MT1X","Mt1",3,"babelgene","Combined_R",TRUE
"MT2A","Mt2",4,"babelgene","Combined_R",TRUE
"MTCH2","Mtch2",12,"babelgene","Combined_R",TRUE
"MTDH","Mtdh",12,"babelgene","Combined_R",TRUE
