"human","mouse","support_n","method","set_name","in_object"
"CXCL9","Cxcl9",10,"babelgene","Fraietta2018_NR",TRUE
"CXCR5","Cxcr5",11,"babelgene","Fraietta2018_NR",TRUE
"CYFIP1","Cyfip1",11,"babelgene","Fraietta2018_NR",TRUE
"CYP19A1","Cyp19a1",12,"babelgene","Fraietta2018_NR",FALSE
"CYP1A1","Cyp1a1",12,"babelgene","Fraietta2018_NR",TRUE
"CYP2S1","Cyp2s1",12,"babelgene","Fraietta2018_NR",TRUE
"CYP51A1","Cyp51",12,"babelgene","Fraietta2018_NR",TRUE
"CYTIP","Cytip",12,"babelgene","Fraietta2018_NR",TRUE
"DEPDC7","Depdc7",12,"babelgene","Fraietta2018_NR",TRUE
"DGKI","Dgki",11,"babelgene","Fraietta2018_NR",TRUE
"DHCR24","Dhcr24",12,"babelgene","Fraietta2018_NR",TRUE
"DHCR7","Dhcr7",12,"babelgene","Fraietta2018_NR",TRUE
"DHRS2","Dhrs2",6,"babelgene","Fraietta2018_NR",TRUE
"DMD","Dmd",11,"babelgene","Fraietta2018_NR",TRUE
"DNAJB5","Dnajb5",12,"babelgene","Fraietta2018_NR",TRUE
"DNAJC12","Dnajc12",12,"babelgene","Fraietta2018_NR",TRUE
"DNAJC18","Dnajc18",12,"babelgene","Fraietta2018_NR",TRUE
"DNAJC6","Dnajc6",12,"babelgene","Fraietta2018_NR",TRUE
"DOCK7","Dock7",12,"babelgene","Fraietta2018_NR",TRUE
"DOK5","Dok5",12,"babelgene","Fraietta2018_NR",TRUE
"DONSON","Donson",12,"babelgene","Fraietta2018_NR",TRUE
"DPYSL2","Dpysl2",12,"babelgene","Fraietta2018_NR",TRUE
"DRAM1","Dram1",12,"babelgene","Fraietta2018_NR",TRUE
"DSN1","Dsn1",12,"babelgene","Fraietta2018_NR",TRUE
"DTL","Dtl",12,"babelgene","Fraietta2018_NR",TRUE
"DUSP3","Dusp3",11,"babelgene","Fraietta2018_NR",TRUE
"DUSP4","Dusp4",12,"babelgene","Fraietta2018_NR",TRUE
"DVL2","Dvl2",11,"babelgene","Fraietta2018_NR",TRUE
"EBI3","Ebi3",12,"babelgene","Fraietta2018_NR",TRUE
"ECI2","Eci2",11,"babelgene","Fraietta2018_NR",TRUE
"EEF1A2","Eef1a2",11,"babelgene","Fraietta2018_NR",FALSE
"EGFL6","Egfl6",11,"babelgene","Fraietta2018_NR",TRUE
"EHD4","Ehd4",12,"babelgene","Fraietta2018_NR",TRUE
"EIF4H","Eif4h",12,"babelgene","Fraietta2018_NR",TRUE
"ELK1","Elk1",10,"babelgene","Fraietta2018_NR",TRUE
"ELL2","Ell2",11,"babelgene","Fraietta2018_NR",TRUE
"ELMO1","Elmo1",12,"babelgene","Fraietta2018_NR",TRUE
"EMP1","Emp1",12,"babelgene","Fraietta2018_NR",TRUE
"ENPP2","Enpp2",12,"babelgene","Fraietta2018_NR",TRUE
"EPAS1","Epas1",12,"babelgene","Fraietta2018_NR",TRUE
"EPB41L4B","Epb41l4b",11,"babelgene","Fraietta2018_NR",TRUE
"ERI2","Eri2",12,"babelgene","Fraietta2018_NR",TRUE
"ERLIN2","Erlin2",10,"babelgene","Fraietta2018_NR",TRUE
"ETS2","Ets2",11,"babelgene","Fraietta2018_NR",TRUE
"EVC","Evc",11,"babelgene","Fraietta2018_NR",FALSE
"EVI5","Evi5",12,"babelgene","Fraietta2018_NR",TRUE
"EXD2","Exd2",10,"babelgene","Fraietta2018_NR",TRUE
"F11R","F11r",10,"babelgene","Fraietta2018_NR",TRUE
"FADS1","Fads1",12,"babelgene","Fraietta2018_NR",TRUE
"FADS2","Fads2",12,"babelgene","Fraietta2018_NR",TRUE
"FAH","Fah",11,"babelgene","Fraietta2018_NR",TRUE
"FAIM2","Faim2",12,"babelgene","Fraietta2018_NR",TRUE
"FAM114A1","Fam114a1",12,"babelgene","Fraietta2018_NR",TRUE
"FAM174B","Fam174b",12,"babelgene","Fraietta2018_NR",TRUE
"FANCI","Fanci",12,"babelgene","Fraietta2018_NR",TRUE
"FASN","Fasn",12,"babelgene","Fraietta2018_NR",TRUE
"FDPS","Fdps",12,"babelgene","Fraietta2018_NR",TRUE
"FGD6","Fgd6",11,"babelgene","Fraietta2018_NR",TRUE
"FGGY","Fggy",12,"babelgene","Fraietta2018_NR",TRUE
"FIGNL1","Fignl1",12,"babelgene","Fraietta2018_NR",TRUE
"FLT1","Flt1",12,"babelgene","Fraietta2018_NR",TRUE
"FMNL3","Fmnl3",11,"babelgene","Fraietta2018_NR",TRUE
"FSCN1","Fscn1",12,"babelgene","Fraietta2018_NR",TRUE
"FXR2","Fxr2",12,"babelgene","Fraietta2018_NR",TRUE
"G0S2","G0s2",12,"babelgene","Fraietta2018_NR",TRUE
"GAB2","Gab2",11,"babelgene","Fraietta2018_NR",TRUE
"GADD45A","Gadd45a",12,"babelgene","Fraietta2018_NR",TRUE
"GAS8","Gas8",12,"babelgene","Fraietta2018_NR",TRUE
