"lineage","module","level","group","median_miR29a","median_ctrl","delta","direction","W","p_value","p_adj_BH"
"CD4","score_Fraietta2018_R","Treg","miR29a_vs_Scr",0.0109670161696478,0.00934822093052273,0.00161879523912506,"up_in_miR29a",151619,0.183785656624329,0.192537354558821
"CD4","score_Fraietta2018_R","Transitional activated CD4","miR29a_vs_EV",0.0105234328309627,0.00271514332168263,0.00780828950928004,"up_in_miR29a",88439,3.89652251645203e-08,5.35771846012154e-08
"CD4","score_Fraietta2018_R","Transitional activated CD4","miR29a_vs_Scr",0.0105234328309627,0.00508511708479312,0.00543831574616956,"up_in_miR29a",134378,4.08619344952295e-05,4.99423643830583e-05
"CD4","score_Fraietta2018_R","CX3CR1+KLRG1+ differentiated effector CD4","miR29a_vs_EV",-0.0222456103425353,-0.0228049111366144,0.000559300794079148,"up_in_miR29a",27009,0.946025027734087,0.946025027734087
"CD4","score_Fraietta2018_R","CX3CR1+KLRG1+ differentiated effector CD4","miR29a_vs_Scr",-0.0222456103425353,-0.00846803219442116,-0.0137775781481141,"down_in_miR29a",14123,0.000803532073995554,0.000930405559363274
"CD4","score_Fraietta2018_R","Intermediate activated CD4","miR29a_vs_EV",0.0199082959901192,0.0673534255452272,-0.0474451295551079,"down_in_miR29a",6656,1.57430629511648e-11,2.30898256617084e-11
"CD4","score_Fraietta2018_R","Intermediate activated CD4","miR29a_vs_Scr",0.0199082959901192,0.0573416315803129,-0.0374333355901937,"down_in_miR29a",6291,1.15021671571227e-05,1.48851574974529e-05
"CD4","score_Fraietta2018_NR","OVERALL","miR29a_vs_EV",-0.0110882423072901,-0.00929236322812162,-0.00179587907916852,"down_in_miR29a",296244748,2.2878517275934e-33,1.67775793356849e-32
"CD4","score_Fraietta2018_NR","OVERALL","miR29a_vs_Scr",-0.0110882423072901,-0.00986417298223308,-0.00122406932505706,"down_in_miR29a",322584391,5.48000720166687e-20,3.01400396091678e-19
"CD4","score_Fraietta2018_NR","Activated intermediate CD4","miR29a_vs_EV",-0.00586701429689979,-0.0046911684234076,-0.00117584587349219,"down_in_miR29a",27770366,2.02709313872653e-06,4.95511656133151e-06
"CD4","score_Fraietta2018_NR","Activated intermediate CD4","miR29a_vs_Scr",-0.00586701429689979,-0.00544716191667582,-0.000419852380223962,"down_in_miR29a",34761094,0.0804756310616494,0.0885231941678143
"CD4","score_Fraietta2018_NR","Differentiated activated/effector CD4","miR29a_vs_EV",-0.0104590183101854,-0.00737038344259359,-0.00308863486759184,"down_in_miR29a",23677357,3.93069905195826e-38,8.64753791430817e-37
"CD4","score_Fraietta2018_NR","Differentiated activated/effector CD4","miR29a_vs_Scr",-0.0104590183101854,-0.00882031231868927,-0.00163870599149617,"down_in_miR29a",28855867,1.27352407174718e-14,5.6035059156876e-14
"CD4","score_Fraietta2018_NR","IFNg-associated early activated CD4","miR29a_vs_EV",-0.0228515487728913,-0.0218209043811806,-0.00103064439171066,"down_in_miR29a",7724964,1.38048449131987e-05,2.53088823408643e-05
"CD4","score_Fraietta2018_NR","IFNg-associated early activated CD4","miR29a_vs_Scr",-0.0228515487728913,-0.0215021362748622,-0.00134941249802908,"down_in_miR29a",6671319,0.000340394746581176,0.000576052648060452
"CD4","score_Fraietta2018_NR","CD4 TCF1hi naive/stem-like progenitor","miR29a_vs_EV",-0.0382410136858667,-0.0316260631324434,-0.00661495055342334,"down_in_miR29a",1079839,1.66993588225865e-33,1.67775793356849e-32
"CD4","score_Fraietta2018_NR","CD4 TCF1hi naive/stem-like progenitor","miR29a_vs_Scr",-0.0382410136858667,-0.0342724765801766,-0.0039685371056901,"down_in_miR29a",1243312,7.00649321926818e-13,2.56904751373166e-12
"CD4","score_Fraietta2018_NR","Transitional progenitor-like CD4","miR29a_vs_EV",0.000338647854349283,0.00292926862289444,-0.00259062076854516,"down_in_miR29a",1117350,2.43221906506157e-06,5.35088194313546e-06
"CD4","score_Fraietta2018_NR","Transitional progenitor-like CD4","miR29a_vs_Scr",0.000338647854349283,0.00329427247479494,-0.00295562462044566,"down_in_miR29a",830678,6.53341022994074e-07,1.7966878132337e-06
"CD4","score_Fraietta2018_NR","Early activated CD4","miR29a_vs_EV",-0.0151576218440349,-0.0124714537632149,-0.00268616808082001,"down_in_miR29a",785909,6.09826570096613e-10,1.91659779173221e-09
"CD4","score_Fraietta2018_NR","Early activated CD4","miR29a_vs_Scr",-0.0151576218440349,-0.0126954914812439,-0.00246213036279107,"down_in_miR29a",897668,8.07004280118104e-06,1.61400856023621e-05
"CD4","score_Fraietta2018_NR","Treg","miR29a_vs_EV",-0.0058627063016836,-0.00374372788245371,-0.00211897841922989,"down_in_miR29a",121150,0.0443427296596452,0.0609712532820121
"CD4","score_Fraietta2018_NR","Treg","miR29a_vs_Scr",-0.0058627063016836,-0.00318498873915199,-0.00267771756253161,"down_in_miR29a",135064,0.0553765533949988,0.0716637749817631
"CD4","score_Fraietta2018_NR","Transitional activated CD4","miR29a_vs_EV",-0.0145140437872688,-0.0100267263635003,-0.00448731742376846,"down_in_miR29a",62814,0.00295017315289606,0.00432692062424755
"CD4","score_Fraietta2018_NR","Transitional activated CD4","miR29a_vs_Scr",-0.0145140437872688,-0.0107663545319393,-0.00374768925532952,"down_in_miR29a",101633,0.00122458802823326,0.00192435261579512
"CD4","score_Fraietta2018_NR","CX3CR1+KLRG1+ differentiated effector CD4","miR29a_vs_EV",0.00634245441646641,0.00873059829276604,-0.00238814387629963,"down_in_miR29a",24206,0.0631517365521116,0.0771854557859142
"CD4","score_Fraietta2018_NR","CX3CR1+KLRG1+ differentiated effector CD4","miR29a_vs_Scr",0.00634245441646641,0.00874570797498239,-0.00240325355851598,"down_in_miR29a",16729,0.328478999282095,0.328478999282095
"CD4","score_Fraietta2018_NR","Intermediate activated CD4","miR29a_vs_EV",0.000134674318163053,0.00563789958850144,-0.00550322527033839,"down_in_miR29a",11992,0.155043863244047,0.162426904350906
"CD4","score_Fraietta2018_NR","Intermediate activated CD4","miR29a_vs_Scr",0.000134674318163053,0.00320137757214493,-0.00306670325398188,"down_in_miR29a",8498,0.0737679067211772,0.0854154709403105
"CD4","score_Combined_R","OVERALL","miR29a_vs_EV",0.339193690614571,0.354210475601353,-0.0150167849867818,"down_in_miR29a",196356115,0,0
"CD4","score_Combined_R","OVERALL","miR29a_vs_Scr",0.339193690614571,0.351283778411373,-0.0120900877968018,"down_in_miR29a",235792028,0,0
"CD4","score_Combined_R","Activated intermediate CD4","miR29a_vs_EV",0.335541571035632,0.349152063989357,-0.0136104929537246,"down_in_miR29a",17999927,0,0
"CD4","score_Combined_R","Activated intermediate CD4","miR29a_vs_Scr",0.335541571035632,0.346043728600033,-0.0105021575644005,"down_in_miR29a",24783909,1.61124548721387e-243,5.90790011978419e-243
"CD4","score_Combined_R","Differentiated activated/effector CD4","miR29a_vs_EV",0.34353113429327,0.35645901722492,-0.0129278829316507,"down_in_miR29a",17436755,5.51670055422858e-301,2.42734824386058e-300
"CD4","score_Combined_R","Differentiated activated/effector CD4","miR29a_vs_Scr",0.34353113429327,0.355226844568595,-0.0116957102753251,"down_in_miR29a",21560446,3.85803305437265e-242,1.2125246742314e-241
"CD4","score_Combined_R","IFNg-associated early activated CD4","miR29a_vs_EV",0.346966987252745,0.360690840304751,-0.0137238530520068,"down_in_miR29a",4235346,7.90224766497087e-309,4.34623621573398e-308
"CD4","score_Combined_R","IFNg-associated early activated CD4","miR29a_vs_Scr",0.346966987252745,0.357319929272034,-0.0103529420192891,"down_in_miR29a",4388927,3.68515839639616e-172,1.01341855900894e-171
"CD4","score_Combined_R","CD4 TCF1hi naive/stem-like progenitor","miR29a_vs_EV",0.295096234720701,0.317364353183562,-0.0222681184628603,"down_in_miR29a",924677,1.31007853767953e-68,2.21705598684228e-68
"CD4","score_Combined_R","CD4 TCF1hi naive/stem-like progenitor","miR29a_vs_Scr",0.295096234720701,0.310775551651244,-0.0156793169305429,"down_in_miR29a",1073693,6.31773190589184e-39,9.92786442354431e-39
"CD4","score_Combined_R","Transitional progenitor-like CD4","miR29a_vs_EV",0.343125924544941,0.361059372624796,-0.0179334480798546,"down_in_miR29a",658458,7.18028878089211e-113,1.75518170199585e-112
"CD4","score_Combined_R","Transitional progenitor-like CD4","miR29a_vs_Scr",0.343125924544941,0.360519530369374,-0.0173936058244327,"down_in_miR29a",522874,4.2345690562084e-88,8.46913811241681e-88
"CD4","score_Combined_R","Early activated CD4","miR29a_vs_EV",0.352498155107825,0.364865601306358,-0.0123674461985332,"down_in_miR29a",489369,2.58596608691174e-95,5.68912539120583e-95
"CD4","score_Combined_R","Early activated CD4","miR29a_vs_Scr",0.352498155107825,0.36278032156265,-0.0102821664548256,"down_in_miR29a",591420,5.82883154977169e-77,1.06861911745814e-76
"CD4","score_Combined_R","Treg","miR29a_vs_EV",0.333784566960164,0.34790254068576,-0.0141179737255957,"down_in_miR29a",91164,6.73772241011941e-17,9.88199286817514e-17
"CD4","score_Combined_R","Treg","miR29a_vs_Scr",0.333784566960164,0.342475238049187,-0.00869067108902311,"down_in_miR29a",118360,2.09827527426143e-07,2.42958189651323e-07
"CD4","score_Combined_R","Transitional activated CD4","miR29a_vs_EV",0.331469581637075,0.3444952777757,-0.0130256961386251,"down_in_miR29a",48749,2.51403200289981e-14,3.25345318022329e-14
"CD4","score_Combined_R","Transitional activated CD4","miR29a_vs_Scr",0.331469581637075,0.340564508132426,-0.00909492649535093,"down_in_miR29a",89454,2.49851839980312e-09,3.05374471087048e-09
"CD4","score_Combined_R","CX3CR1+KLRG1+ differentiated effector CD4","miR29a_vs_EV",0.276115480785636,0.252276779642601,0.0238387011430351,"up_in_miR29a",33482,6.28384150786516e-06,6.91222565865168e-06
"CD4","score_Combined_R","CX3CR1+KLRG1+ differentiated effector CD4","miR29a_vs_Scr",0.276115480785636,0.2399798466229,0.0361356341627354,"up_in_miR29a",22490,1.94684941323399e-05,2.03955652814989e-05
"CD4","score_Combined_R","Intermediate activated CD4","miR29a_vs_EV",0.164966748488898,0.111198036589521,0.0537687118993765,"up_in_miR29a",21640,2.5222710260648e-16,3.46812266083911e-16
"CD4","score_Combined_R","Intermediate activated CD4","miR29a_vs_Scr",0.164966748488898,0.150891752484175,0.0140749960047226,"up_in_miR29a",12359,0.00583090882672911,0.00583090882672911
"CD4","score_Combined_NR","OVERALL","miR29a_vs_EV",0.328323869807664,0.336431938206834,-0.00810806839917011,"down_in_miR29a",231481183,0,0
"CD4","score_Combined_NR","OVERALL","miR29a_vs_Scr",0.328323869807664,0.333449011153323,-0.00512514134565917,"down_in_miR29a",282224022,3.27979349453828e-234,3.60777284399211e-233
"CD4","score_Combined_NR","Activated intermediate CD4","miR29a_vs_EV",0.325249116594322,0.331586304510781,-0.00633718791645893,"down_in_miR29a",22195900,9.4630779306599e-138,5.20469286186294e-137
"CD4","score_Combined_NR","Activated intermediate CD4","miR29a_vs_Scr",0.325249116594322,0.329486072348797,-0.00423695575447436,"down_in_miR29a",29988463,9.88136692114382e-64,3.62316787108607e-63
"CD4","score_Combined_NR","Differentiated activated/effector CD4","miR29a_vs_EV",0.332678810034369,0.339776123065767,-0.00709731303139793,"down_in_miR29a",20187628,6.70586846732467e-154,4.91763687603809e-153
"CD4","score_Combined_NR","Differentiated activated/effector CD4","miR29a_vs_Scr",0.332678810034369,0.336949831076288,-0.00427102104191879,"down_in_miR29a",26399890,9.79188682916625e-60,2.69276887802072e-59
"CD4","score_Combined_NR","IFNg-associated early activated CD4","miR29a_vs_EV",0.332140686938041,0.339174616615309,-0.00703392967726812,"down_in_miR29a",5718045,1.28375919909409e-121,5.64854047601399e-121
"CD4","score_Combined_NR","IFNg-associated early activated CD4","miR29a_vs_Scr",0.332140686938041,0.335273084100112,-0.00313239716207092,"down_in_miR29a",5984916,9.56519643345077e-28,1.75361934613264e-27
"CD4","score_Combined_NR","CD4 TCF1hi naive/stem-like progenitor","miR29a_vs_EV",0.304990668879903,0.318834823368165,-0.0138441544882615,"down_in_miR29a",1032891,8.94770935910111e-43,2.18721784333583e-42
"CD4","score_Combined_NR","CD4 TCF1hi naive/stem-like progenitor","miR29a_vs_Scr",0.304990668879903,0.31238344366286,-0.00739277478295663,"down_in_miR29a",1223894,4.11298058241165e-15,6.9604286779274e-15
"CD4","score_Combined_NR","Transitional progenitor-like CD4","miR29a_vs_EV",0.33010905821451,0.340661106634855,-0.0105520484203446,"down_in_miR29a",810250,2.21497654128323e-62,6.96135484403299e-62
"CD4","score_Combined_NR","Transitional progenitor-like CD4","miR29a_vs_Scr",0.33010905821451,0.338936184377126,-0.00882712616261527,"down_in_miR29a",666883,3.65585686720252e-38,8.04288510784554e-38
"CD4","score_Combined_NR","Early activated CD4","miR29a_vs_EV",0.33638588559232,0.342234227438309,-0.0058483418459882,"down_in_miR29a",670353,2.19187250570463e-32,4.38374501140927e-32
"CD4","score_Combined_NR","Early activated CD4","miR29a_vs_Scr",0.33638588559232,0.33934529536689,-0.00295940977456921,"down_in_miR29a",879976,1.3049481110544e-07,1.68875637901158e-07
"CD4","score_Combined_NR","Treg","miR29a_vs_EV",0.331420649007593,0.34026322385503,-0.00884257484743645,"down_in_miR29a",98920,1.92642714334252e-11,3.02724265382396e-11
"CD4","score_Combined_NR","Treg","miR29a_vs_Scr",0.331420649007593,0.336763796671963,-0.00534314766436994,"down_in_miR29a",124535,6.89380333646343e-05,7.22207968581883e-05
"CD4","score_Combined_NR","Transitional activated CD4","miR29a_vs_EV",0.318099494328833,0.32459041459386,-0.00649092026502729,"down_in_miR29a",56983,9.58641431307545e-07,1.171672860487e-06
"CD4","score_Combined_NR","Transitional activated CD4","miR29a_vs_Scr",0.318099494328833,0.323400484216713,-0.00530098988788019,"down_in_miR29a",97178,2.32505234261511e-05,2.55755757687662e-05
"CD4","score_Combined_NR","CX3CR1+KLRG1+ differentiated effector CD4","miR29a_vs_EV",0.265729778252548,0.238884497315694,0.0268452809368544,"up_in_miR29a",35219,1.12677246938604e-08,1.5493121454058e-08
"CD4","score_Combined_NR","CX3CR1+KLRG1+ differentiated effector CD4","miR29a_vs_Scr",0.265729778252548,0.232996253911041,0.032733524341507,"up_in_miR29a",22646,1.01930829268271e-05,1.18025170731682e-05
"CD4","score_Combined_NR","Intermediate activated CD4","miR29a_vs_EV",0.193772355518649,0.161148667748505,0.0326236877701439,"up_in_miR29a",20091,2.92753622701503e-11,4.29371979962204e-11
"CD4","score_Combined_NR","Intermediate activated CD4","miR29a_vs_Scr",0.193772355518649,0.197135595158852,-0.00336323964020308,"down_in_miR29a",10245,0.788788827933215,0.788788827933215
"CD4","net_Fraietta2018","OVERALL","miR29a_vs_EV",0.0180451391170335,0.00880563522430224,0.00923950389273122,"up_in_miR29a",372248727,4.8793047379821e-261,1.07344704235606e-259
"CD4","net_Fraietta2018","OVERALL","miR29a_vs_Scr",0.0180451391170335,0.0100055626735028,0.00803957644353065,"up_in_miR29a",391938948,1.28192331324293e-214,1.41011564456723e-213
"CD4","net_Fraietta2018","Activated intermediate CD4","miR29a_vs_EV",0.00896613638143309,0.000634407225083525,0.00833172915634957,"up_in_miR29a",35070456,7.86036133466716e-105,3.45855898725355e-104
"CD4","net_Fraietta2018","Activated intermediate CD4","miR29a_vs_Scr",0.00896613638143309,0.00284069022501979,0.00612544615641331,"up_in_miR29a",40645016,6.87670364144078e-64,2.16124971588139e-63
"CD4","net_Fraietta2018","Differentiated activated/effector CD4","miR29a_vs_EV",0.0210361813947158,0.0101494060066668,0.010886775388049,"up_in_miR29a",33532426,8.64821544583448e-141,6.34202466027862e-140
"CD4","net_Fraietta2018","Differentiated activated/effector CD4","miR29a_vs_Scr",0.0210361813947158,0.0113370950945534,0.00969908630016238,"up_in_miR29a",37825640,7.08420826200187e-124,3.89631454410103e-123
"CD4","net_Fraietta2018","IFNg-associated early activated CD4","miR29a_vs_EV",0.0256521023932119,0.0184540596262735,0.00719804276693839,"up_in_miR29a",9379180,4.18626006868112e-30,7.67481012591539e-30
"CD4","net_Fraietta2018","IFNg-associated early activated CD4","miR29a_vs_Scr",0.0256521023932119,0.0179147426125576,0.00773735978065433,"up_in_miR29a",8133009,2.2892801552673e-33,5.59601815732006e-33
"CD4","net_Fraietta2018","CD4 TCF1hi naive/stem-like progenitor","miR29a_vs_EV",0.0948012067282357,0.0723113120787557,0.0224898946494801,"up_in_miR29a",1912534,6.63199302079884e-66,2.43173077429291e-65
"CD4","net_Fraietta2018","CD4 TCF1hi naive/stem-like progenitor","miR29a_vs_Scr",0.0948012067282357,0.079514901543895,0.0152863051843407,"up_in_miR29a",1790305,6.72787345201827e-32,1.34557469040365e-31
"CD4","net_Fraietta2018","Transitional progenitor-like CD4","miR29a_vs_EV",-0.0020617356359495,-0.0138616412776347,0.0117999056416852,"up_in_miR29a",1531047,4.64603600306048e-30,7.86252246671773e-30
"CD4","net_Fraietta2018","Transitional progenitor-like CD4","miR29a_vs_Scr",-0.0020617356359495,-0.0143222593312178,0.0122605236952683,"up_in_miR29a",1159180,6.50180342988243e-28,1.02171196755295e-27
"CD4","net_Fraietta2018","Early activated CD4","miR29a_vs_EV",0.0225006094259101,0.0101033287647954,0.0123972806611147,"up_in_miR29a",1161380,2.93100928573984e-34,8.06027553578456e-34
"CD4","net_Fraietta2018","Early activated CD4","miR29a_vs_Scr",0.0225006094259101,0.0109998884627316,0.0115007209631785,"up_in_miR29a",1250825,3.81915287635059e-32,8.40213632797129e-32
"CD4","net_Fraietta2018","Treg","miR29a_vs_EV",0.0159018531770826,0.00828073684146816,0.00762111633561441,"up_in_miR29a",143091,0.00857628239772263,0.00993043224999462
"CD4","net_Fraietta2018","Treg","miR29a_vs_Scr",0.0159018531770826,0.0119860552383591,0.00391579793872346,"up_in_miR29a",153917,0.0751302489603802,0.0787078798632554
"CD4","net_Fraietta2018","Transitional activated CD4","miR29a_vs_EV",0.0235151851629394,0.0130308734045299,0.0104843117584095,"up_in_miR29a",87426,2.46032455409613e-07,3.60847601267432e-07
"CD4","net_Fraietta2018","Transitional activated CD4","miR29a_vs_Scr",0.0235151851629394,0.0146234309589768,0.00889175420396265,"up_in_miR29a",136829,3.2929120996461e-06,4.26141565836554e-06
"CD4","net_Fraietta2018","CX3CR1+KLRG1+ differentiated effector CD4","miR29a_vs_EV",-0.0263993134960544,-0.0316644093975458,0.00526509590149138,"up_in_miR29a",28470,0.283788360346408,0.283788360346408
"CD4","net_Fraietta2018","CX3CR1+KLRG1+ differentiated effector CD4","miR29a_vs_Scr",-0.0263993134960544,-0.0169757675010335,-0.00942354599502095,"down_in_miR29a",15363,0.0262982057054507,0.0289280262759958
"CD4","net_Fraietta2018","Intermediate activated CD4","miR29a_vs_EV",0.020794675387012,0.0532288551057415,-0.0324341797187295,"down_in_miR29a",8414,6.0849879398771e-07,8.36685841733101e-07
"CD4","net_Fraietta2018","Intermediate activated CD4","miR29a_vs_Scr",0.020794675387012,0.0445855748062619,-0.0237908994192498,"down_in_miR29a",7198,0.000904005217978433,0.00110489526641808
"CD4","net_Combined","OVERALL","miR29a_vs_EV",0.00911902070511311,0.0163855185628102,-0.00726649785769709,"down_in_miR29a",237470141,0,0
"CD4","net_Combined","OVERALL","miR29a_vs_Scr",0.00911902070511311,0.016369975934636,-0.0072509552295229,"down_in_miR29a",255154074,0,0
"CD4","net_Combined","Activated intermediate CD4","miR29a_vs_EV",0.00888455801723381,0.0158268407471668,-0.00694228272993302,"down_in_miR29a",21967953,6.87413655823277e-147,3.78077510702802e-146
"CD4","net_Combined","Activated intermediate CD4","miR29a_vs_Scr",0.00888455801723381,0.0152834530090131,-0.00639889499177931,"down_in_miR29a",27453611,1.33749051131478e-136,5.88495824978505e-136
"CD4","net_Combined","Differentiated activated/effector CD4","miR29a_vs_EV",0.00989206947487103,0.015648712021315,-0.00575664254644401,"down_in_miR29a",21009215,1.6054899317885e-119,5.88679641655783e-119
"CD4","net_Combined","Differentiated activated/effector CD4","miR29a_vs_Scr",0.00989206947487103,0.0168295077893914,-0.00693743831452037,"down_in_miR29a",23173128,1.50645608523405e-167,1.10473446250497e-166
"CD4","net_Combined","IFNg-associated early activated CD4","miR29a_vs_EV",0.0149731493679323,0.0213529823192702,-0.00637983295133787,"down_in_miR29a",6095674,9.68031914734934e-88,2.66208776552107e-87
"CD4","net_Combined","IFNg-associated early activated CD4","miR29a_vs_Scr",0.0149731493679323,0.0218507173240862,-0.00687756795615385,"down_in_miR29a",5121130,2.86657911285798e-90,9.00924864041078e-90
"CD4","net_Combined","CD4 TCF1hi naive/stem-like progenitor","miR29a_vs_EV",-0.00944506745108137,-0.00106263156587133,-0.00838243588521004,"down_in_miR29a",1034769,2.21337860583461e-42,4.42675721166921e-42
"CD4","net_Combined","CD4 TCF1hi naive/stem-like progenitor","miR29a_vs_Scr",-0.00944506745108137,-0.00158906902928785,-0.00785599842179352,"down_in_miR29a",1058177,4.74961042917861e-42,8.70761912016078e-42
"CD4","net_Combined","Transitional progenitor-like CD4","miR29a_vs_EV",0.0115204408256614,0.0188560882185662,-0.00733564739290471,"down_in_miR29a",896118,1.63531951595532e-40,2.76746379623208e-40
"CD4","net_Combined","Transitional progenitor-like CD4","miR29a_vs_Scr",0.0115204408256614,0.0202666901438373,-0.00874624931817586,"down_in_miR29a",637447,1.17574629974445e-46,2.87404651048644e-46
"CD4","net_Combined","Early activated CD4","miR29a_vs_EV",0.0155274626170518,0.0217085046215534,-0.00618104200450154,"down_in_miR29a",684040,5.22596136122738e-29,8.21222499621445e-29
"CD4","net_Combined","Early activated CD4","miR29a_vs_Scr",0.0155274626170518,0.0233034378966757,-0.00777597527962384,"down_in_miR29a",688994,5.47811641968136e-45,1.2051856123299e-44
"CD4","net_Combined","Treg","miR29a_vs_EV",-0.000541456226036879,0.00559329064810968,-0.00613474687414656,"down_in_miR29a",104883,5.020472916218e-08,7.36336027711973e-08
"CD4","net_Combined","Treg","miR29a_vs_Scr",-0.000541456226036879,0.00394141525498071,-0.00448287148101759,"down_in_miR29a",125766,0.000185042589901355,0.000214259840938411
"CD4","net_Combined","Transitional activated CD4","miR29a_vs_EV",0.0140449670886975,0.0183161004565298,-0.0042711333678323,"down_in_miR29a",56878,8.02968230471689e-07,1.03913535708101e-06
"CD4","net_Combined","Transitional activated CD4","miR29a_vs_Scr",0.0140449670886975,0.015701081803664,-0.00165611471496649,"down_in_miR29a",103029,0.00349644769653882,0.0038460924661927
"CD4","net_Combined","CX3CR1+KLRG1+ differentiated effector CD4","miR29a_vs_EV",0.0109838201062255,0.0120403385898923,-0.00105651848366681,"down_in_miR29a",25271,0.260104248236244,0.260104248236244
"CD4","net_Combined","CX3CR1+KLRG1+ differentiated effector CD4","miR29a_vs_Scr",0.0109838201062255,0.00839434455073756,0.00258947555548791,"up_in_miR29a",19797,0.0691803963320936,0.0724747009193362
"CD4","net_Combined","Intermediate activated CD4","miR29a_vs_EV",-0.0285514676809804,-0.0476521315541764,0.019100663873196,"up_in_miR29a",18385,7.4356690028314e-07,1.02240448788932e-06
"CD4","net_Combined","Intermediate activated CD4","miR29a_vs_Scr",-0.0285514676809804,-0.045984387787641,0.0174329201066606,"up_in_miR29a",13898,4.89283929951209e-06,5.98013692162589e-06
"CD8","score_Fraietta2018_R","OVERALL","miR29a_vs_EV",-0.00777838153765818,-0.00775056846554106,-2.78130721171194e-05,"down_in_miR29a",19961771,0.632866302991648,0.632866302991648
"CD8","score_Fraietta2018_R","OVERALL","miR29a_vs_Scr",-0.00777838153765818,-0.00543295247775169,-0.00234542905990649,"down_in_miR29a",23862279,1.18400895025152e-08,1.77601342537728e-08
"CD8","score_Fraietta2018_R","Proliferative CD8 effector","miR29a_vs_EV",-0.0125930587023595,-0.0141431993566232,0.00155014065426368,"up_in_miR29a",11239092,0.000252864898430701,0.000303437878116841
"CD8","score_Fraietta2018_R","Proliferative CD8 effector","miR29a_vs_Scr",-0.0125930587023595,-0.010016557711037,-0.00257650099132256,"down_in_miR29a",13289933,8.47641677868405e-11,5.08585006721043e-10
"CD8","score_Fraietta2018_R","Non-cycling exhaustion-like CD8","miR29a_vs_EV",0.0141300445600572,0.00850384193977859,0.00562620262027862,"up_in_miR29a",1501456,1.6664737571466e-09,3.99873657097006e-09
"CD8","score_Fraietta2018_R","Non-cycling exhaustion-like CD8","miR29a_vs_Scr",0.0141300445600572,0.00913153136722226,0.00499851319283494,"up_in_miR29a",1700524,1.99936828548503e-09,3.99873657097006e-09
"CD8","score_Fraietta2018_NR","OVERALL","miR29a_vs_EV",-0.00777011300752806,-0.00319578359836009,-0.00457432940916797,"down_in_miR29a",16499787,7.43656761241406e-61,4.4515945442102e-60
