"module","level","group","median_miR29a","median_ctrl","delta","W","p_value","p_adj_BH"
"score_miR29a_targets_score_lt_neg0.2","CD4 TCF1hi naive/stem-like progenitor","miR29a_vs_Scr",0.0389801980136356,0.0402691405043999,-0.00128894249076425,1387668,0.0145320112210964,0.0145320112210964
"score_miR29a_targets_score_lt_neg0.2","Transitional progenitor-like CD4","miR29a_vs_EV",0.0277210541536026,0.0360587942089017,-0.00833774005529908,862432,8.11987429005978e-49,1.87381714385995e-48
"score_miR29a_targets_score_lt_neg0.2","Transitional progenitor-like CD4","miR29a_vs_Scr",0.0277210541536026,0.0369003136198961,-0.00917925946629353,636287,2.60965949560153e-47,5.59212749057471e-47
"score_miR29a_targets_score_lt_neg0.2","Early activated CD4","miR29a_vs_EV",0.0140298271333594,0.0224691292024918,-0.00843930206913246,602852,3.50865665019215e-52,8.77164162548037e-52
"score_miR29a_targets_score_lt_neg0.2","Early activated CD4","miR29a_vs_Scr",0.0140298271333594,0.0215381046027609,-0.00750827746940157,709497,1.11085600394536e-39,2.22171200789072e-39
"score_miR29a_targets_score_lt_neg0.2","Cycling non-T (review)","miR29a_vs_EV",-0.0231281921932936,-0.0117037815184406,-0.011424410674853,91163,3.27422060621212e-30,5.77803636390374e-30
"score_miR29a_targets_score_lt_neg0.2","Cycling non-T (review)","miR29a_vs_Scr",-0.0231281921932936,-0.0144890629877365,-0.00863912920555711,60756,2.20559969728936e-16,3.67599949548228e-16
"score_miR29a_targets_score_lt_neg0.2","Treg","miR29a_vs_EV",0.0278218467889095,0.0319381563475207,-0.00411630955861125,115000,0.000464337729296394,0.000535774303034301
"score_miR29a_targets_score_lt_neg0.2","Treg","miR29a_vs_Scr",0.0278218467889095,0.0314138534143832,-0.00359200662547375,130661,0.00272603300185877,0.00302892555762086
"score_miR29a_targets_score_lt_neg0.2","Transitional activated CD4","miR29a_vs_EV",0.0154900012028342,0.0241056615882888,-0.00861566038545465,53017,2.63830657890623e-10,3.76900939843747e-10
"score_miR29a_targets_score_lt_neg0.2","Transitional activated CD4","miR29a_vs_Scr",0.0154900012028342,0.0228972146658718,-0.00740721346303765,88158,2.02749676493109e-10,3.04124514739663e-10
"score_miR29a_targets_score_lt_neg0.2","CX3CR1+KLRG1+ differentiated effector CD4","miR29a_vs_EV",0.0288063243873856,0.0335967031404729,-0.00479037875308729,23374,0.00755030362139579,0.0078106589186853
"score_miR29a_targets_score_lt_neg0.2","CX3CR1+KLRG1+ differentiated effector CD4","miR29a_vs_Scr",0.0288063243873856,0.0377237983284597,-0.00891747394107412,14796,0.00308706172178361,0.00330756613048244
"score_miR29a_targets_score_lt_neg0.2","Intermediate activated CD4","miR29a_vs_EV",0.0392213254220435,0.066513394935343,-0.0272920695132996,6986,7.18422203907263e-11,1.13435084827463e-10
"score_miR29a_targets_score_lt_neg0.2","Intermediate activated CD4","miR29a_vs_Scr",0.0392213254220435,0.0688251490045461,-0.0296038235825026,5699,1.84878349753105e-07,2.31097937191381e-07
"score_miR29a_targets_score_lt_neg0.2","NK-like / innate-like (review)","miR29a_vs_EV",0.00903079779535675,0.0210602779397362,-0.0120294801443794,4076,8.86344989417773e-10,1.15610216011014e-09
"score_miR29a_targets_score_lt_neg0.2","NK-like / innate-like (review)","miR29a_vs_Scr",0.00903079779535675,0.0215411223772914,-0.0125103245819346,5178,5.91742681356857e-10,8.06921838213895e-10
