"","baseMean","avg_log2FC","lfcSE","p_val","p_val_adj"
"Gls",3173.68666736416,-0.000130281303383947,0.00460333602395157,0.56327527266929,0.999935774106329
"Nab1",934.676457896302,0.000103495041522185,0.00583086937792344,0.610818959354496,0.999935774106329
"Mfsd6",498.250877284966,-2.58645283920217e-05,0.00630798666836391,0.900093645027082,0.999935774106329
"Pms1",443.459705674433,6.38407027454802e-05,0.006712893638063,0.765375932087066,0.999935774106329
"Asnsd1",984.156804876059,4.64257032945349e-05,0.00538230585606197,0.811624286674302,0.999935774106329
"Stk17b",4048.62686159111,-7.41595468744988e-05,0.00439813981210051,0.748662165761052,0.999935774106329
"Gtf3c3",530.352617253776,8.78739648737995e-05,0.00652104393508891,0.677568803048812,0.999935774106329
"Ankrd44",6898.93451355989,5.93851768982555e-05,0.00427526968660049,0.81540856034289,0.999935774106329
"Sf3b1",7063.24569340263,0.000220545828628771,0.00458440735355863,0.388670475348528,0.999935774106329
"Hspd1",15220.9218204188,-0.000590571107793205,0.00646319002805001,0.0772313916566279,0.999935774106329
"Hspe1",8349.99308366546,-0.000262863152541106,0.00454652311103755,0.337286546580384,0.999935774106329
"Mob4",1564.29385987277,0.000110150816671011,0.00513495673431726,0.588619809272721,0.999935774106329
"Tyw5",383.939096035782,-4.28091423733376e-05,0.00691346678934499,0.843877631682014,0.999935774106329
"Maip1",815.709466864322,2.74927446776852e-05,0.00546557290539271,0.887527754996384,0.999935774106329
"Sgo2a",1771.53697416967,-0.000161648179555655,0.0052225955819752,0.451209158852037,0.999935774106329
"Bzw1",9015.34080817184,-8.61454809314701e-06,0.00422457407885693,0.974339741759007,0.999935774106329
"Clk1",1650.15587837983,0.000112612707808293,0.00511052129733211,0.581733595718943,0.999935774106329
"Ppil3",1246.0002472289,2.73150504825189e-05,0.00500548176161792,0.88800145116253,0.999935774106329
"Orc2",1534.48301951279,-0.000149650253182331,0.00530972222623372,0.477635196400864,0.999935774106329
"Hycc2",624.893056575399,8.91782051426462e-05,0.00620658925080916,0.665909163430182,0.999935774106329
"Ndufb3",4660.95586326235,0.000241106769335629,0.00481341338441633,0.333693116154713,0.999935774106329
"Cflar",1546.42802954042,0.000110213438732017,0.00512267255666405,0.588667194014265,0.999935774106329
"Casp8",3349.19584723725,0.000136450608481817,0.00459112561251811,0.549582845271857,0.999935774106329
"Trak2",691.428195146214,6.54586032550994e-05,0.00588695108161662,0.744349567621219,0.999935774106329
"Sumo1",3477.24340232318,0.00022406018518998,0.00499705815473923,0.345040520453706,0.999935774106329
"Nop58",8691.39327105093,-0.000432190707577571,0.0053046078575871,0.147569287016134,0.999935774106329
"Wdr12",2028.17939706819,-0.000154725307445076,0.00503651051513588,0.473136769662931,0.999935774106329
"Nbeal1",694.006296246572,5.51979697380583e-05,0.00583424793515299,0.782033747954902,0.999935774106329
"Abi2",543.472634587515,8.25762218241482e-05,0.0064340720498346,0.693707510939396,0.999935774106329
"Raph1",439.010318647405,-0.000196521301550969,0.00812973688214329,0.423300722859724,0.999935774106329
"Cd28",2347.46202908138,8.78803323414094e-05,0.00465277109926856,0.678066289122418,0.999935774106329
"Icos",2422.18567816283,-0.000339628543418296,0.00662507498320038,0.188836067108276,0.999935774106329
"Ino80d",1302.29489607095,0.000113086149991339,0.00526824994813607,0.577900118869062,0.999935774106329
"Ndufs1",1107.31698611315,4.87735082859532e-05,0.0051508382412748,0.802175408894192,0.999935774106329
"Eef1b2",31044.418203079,0.000112027173065621,0.00417635311634825,0.718844917786467,0.999935774106329
"Fastkd2",423.907226157558,-0.000162883528040692,0.00778239633578493,0.492039293682157,0.999935774106329
"Klf7",1008.12635728677,0.000466601845512336,0.00979256958839573,0.135919384508138,0.999935774106329
"Creb1",1273.34335760651,0.000179550450297053,0.00581708754762359,0.406429234206108,0.999935774106329
"Pikfyve",514.710238609852,-5.03249762597538e-05,0.00634265609307859,0.807958333167485,0.999935774106329
"Rpe",1027.7782751101,8.58783586105039e-05,0.00548211235844663,0.66599898234878,0.999935774106329
"Acadl",1868.97103429591,5.36011458683373e-05,0.00716683199141558,0.809491608678223,0.999935774106329
"Bard1",758.893081343056,-0.000147252709968608,0.00637078050162255,0.491893026234716,0.999935774106329
"Atic",3134.15796168935,-0.000210093139097046,0.00497595588280729,0.368158538033184,0.999935774106329
"Xrcc5",998.858359036649,-5.03368130798591e-05,0.00527131906661277,0.796018624785873,0.999935774106329
"Rpl37a",36106.7134848576,-0.000470516334373332,0.00471339609275167,0.160062966338522,0.999935774106329
"Arpc2",17876.0871107023,0.000163984469151239,0.00423214950207003,0.581092999831178,0.999935774106329
"Aamp",1080.15345643321,3.99760566078392e-05,0.00517423636044131,0.836686787196147,0.999935774106329
"Pnkd",622.741102404733,-2.4030268124057e-05,0.00592125184904125,0.904216764383158,0.999935774106329
"Usp37",1112.76119071152,-5.36795508281393e-05,0.00515861516704201,0.783217713961963,0.999935774106329
"Cnot9",754.15024048414,-5.67678689497474e-05,0.00568647017792723,0.774206532736113,0.999935774106329
"Ttll4",481.348341450592,-8.09647750638326e-05,0.00674923401952713,0.70651124577488,0.999935774106329
"Cnppd1",435.800243468391,-0.000140761697121219,0.00750321247382279,0.542118833800254,0.999935774106329
"Stk16",676.423697230005,2.11542336592964e-05,0.00573188594101196,0.91449618666085,0.999935774106329
"Tuba4a",4230.17389990862,-9.74612329625759e-06,0.0043453955317029,0.966516091450662,0.999935774106329
"Farsb",1524.1632696456,-9.77927206608743e-05,0.0050254628254713,0.629308164043571,0.999935774106329
"5730419F03Rik",607.879198086587,7.81885461820451e-05,0.00620880544068568,0.704172427371847,0.999935774106329
"Acsl3",851.721094167029,0.000545671318011748,0.0115070088202596,0.119754561522133,0.999935774106329
"Ap1s3",481.995538285113,0.00014127091055593,0.00729861473263696,0.534344616352804,0.999935774106329
"Wdfy1",473.442932614369,0.00030230584491002,0.0094899435129768,0.278275268194515,0.999935774106329
"Mrpl44",760.392560505689,0.000144762542007035,0.00636978158287201,0.49858456327532,0.999935774106329
"Cul3",5139.5777829933,0.000156294812105526,0.00445906346444068,0.525449433620626,0.999935774106329
"Dock10",11588.4466334312,0.000359229047055338,0.0047762227445404,0.218893423071869,0.999935774106329
"Rhbdd1",471.727130380649,-1.15920995333301e-05,0.00649286546400851,0.955820300768265,0.999935774106329
"Mff",1441.30869489601,0.0003008242042748,0.00687802829154832,0.226727705106976,0.999935774106329
"Agfg1",2571.70742415773,0.000217941025024718,0.00518100501004171,0.345755181390644,0.999935774106329
"Trip12",3494.83672839634,2.69062298126815e-05,0.0043991254065209,0.904473253929854,0.999935774106329
