"coarse_annot","condition","replicate","set","mean_score","n_cells"
"Effector 1","miR29a","rep2","H: IL2 STAT5 SIGNALING",0.0821856013476996,2300
"Effector 1","miR29a","rep2","H: MTORC1 SIGNALING",0.23664011091371,2300
"Effector 1","miR29a","rep2","H: MYC TARGETS V1",0.512476117364046,2300
"Effector 1","miR29a","rep2","H: MYC TARGETS V2",0.217048447357138,2300
"Effector 1","miR29a","rep2","H: OXIDATIVE PHOSPHORYLATION",0.317753446293251,2300
"Effector 1","miR29a","rep2","H: REACTIVE OXYGEN SPECIES PATHWAY",0.151783537647779,2300
"Effector 1","miR29a","rep2","H: TNFA SIGNALING VIA NFKB",0.0363913503443993,2300
"Effector 1","miR29a","rep2","H: UNFOLDED PROTEIN RESPONSE",0.204940114145807,2300
"Effector 1","miR29a","rep2","Module1 MetabolicStress Hypoxia",0.113430542959232,2300
"Effector 1","miR29a","rep2","Module2 MetabolicResilience OxFitness",0.0312214227943128,2300
"Effector 1","miR29a","rep2","Module3A MitoOrganization",0.171025495589077,2300
"Effector 1","miR29a","rep2","Module3B Mitophagy Damage",0.12288323465669,2300
"Effector 1","miR29a","rep2","Module3 MitoQualityControl",0.156075397085627,2300
"Effector 1","miR29a","rep2","Module4 Activation Anabolic",0.327927155610433,2300
"Effector 2","EV","rep1","GO: AUTOPHAGY",0.10013141380703,153
"Effector 2","EV","rep1","GO: MITOCHONDRIAL BIOGENESIS",0.12052219674751,153
"Effector 2","EV","rep1","GO: MITOPHAGY",0.126447645557801,153
"Effector 2","EV","rep1","GO: RIBOSOME BIOGENESIS",0.247611657134825,153
"Effector 2","EV","rep1","H: APOPTOSIS",0.108379748096165,153
"Effector 2","EV","rep1","H: FATTY ACID METABOLISM",0.104293731272487,153
"Effector 2","EV","rep1","H: GLYCOLYSIS",0.105688046561961,153
"Effector 2","EV","rep1","H: HYPOXIA",0.106477874294405,153
"Effector 2","EV","rep1","H: IL2 STAT5 SIGNALING",0.119925487430271,153
"Effector 2","EV","rep1","H: MTORC1 SIGNALING",0.243575340915977,153
"Effector 2","EV","rep1","H: MYC TARGETS V1",0.461705256342099,153
"Effector 2","EV","rep1","H: MYC TARGETS V2",0.183982247275097,153
"Effector 2","EV","rep1","H: OXIDATIVE PHOSPHORYLATION",0.299527150717468,153
"Effector 2","EV","rep1","H: REACTIVE OXYGEN SPECIES PATHWAY",0.15361052109474,153
"Effector 2","EV","rep1","H: TNFA SIGNALING VIA NFKB",0.0772014095244022,153
"Effector 2","EV","rep1","H: UNFOLDED PROTEIN RESPONSE",0.207669729639571,153
"Effector 2","EV","rep1","Module1 MetabolicStress Hypoxia",0.153278815086393,153
"Effector 2","EV","rep1","Module2 MetabolicResilience OxFitness",0.0341942150861797,153
