"coarse_annot","set","n_miR29a","n_EV","median_miR29a","median_EV","delta_mean","rank_biserial","p_value","p_adj_BH"
"Stem-like","H: MYC TARGETS V1",161,103,0.320722611272233,0.350951928089935,-0.0143258201861176,-0.082,0.260445543798417,0.3125346525581
"Stem-like","Module4 Activation Anabolic",161,103,0.200980145765268,0.208595124403116,-0.0125460027988403,-0.112,0.126582633384411,0.17244264972159
"Stem-like","Module2 MetabolicResilience OxFitness",161,103,0.0414302473126003,0.028992793698676,0.0112792859528531,0.214,0.00340127010248992,0.00680254020497985
"Stem-like","H: OXIDATIVE PHOSPHORYLATION",161,103,0.209285903200212,0.230161332980693,-0.0101837953849137,-0.124,0.0896783871806025,0.134517580770904
"Stem-like","Module1 MetabolicStress Hypoxia",161,103,0.088062327217894,0.0959914551394823,-0.00982694271258304,-0.196,0.00735508706089817,0.0134843262783133
"Stem-like","Module3B Mitophagy Damage",161,103,0.0961849067112225,0.0829016986911724,0.00887991048396282,0.102,0.16377886691112,0.211949121884978
"Stem-like","H: MTORC1 SIGNALING",161,103,0.145098624832656,0.156722967573926,-0.00739727974685844,-0.104,0.155278228636068,0.20496726179961
"Stem-like","H: IL2 STAT5 SIGNALING",161,103,0.0982954244908755,0.0922560169267389,0.00603064843860533,0.188,0.0101329558559668,0.0180750023376704
"Stem-like","Module3 MitoQualityControl",161,103,0.124637889343772,0.119646149057914,0.0060147086690925,0.067,0.3608105281118,0.410577497506531
"Stem-like","H: UNFOLDED PROTEIN RESPONSE",161,103,0.141376577594177,0.150540401441071,-0.00600343581446086,-0.117,0.109320929965128,0.156851769080401
"Stem-like","H: MYC TARGETS V2",161,103,0.107311289800418,0.108453131972456,-0.00521769665648072,-0.013,0.854464367036549,0.867609972683265
"Stem-like","GO: RIBOSOME BIOGENESIS",161,103,0.208470369493339,0.208319520088405,-0.00474485334168986,-0.057,0.431527570635654,0.466898682982839
"Stem-like","H: TNFA SIGNALING VIA NFKB",161,103,0.0546693996297276,0.0584117958212114,-0.00384683273481701,-0.141,0.052680250893824,0.0808580595114508
"Stem-like","Module3A MitoOrganization",161,103,0.128661854953877,0.134374155698792,0.00375098556915585,0.021,0.769912328506174,0.793972088771992
"Stem-like","GO: AUTOPHAGY",161,103,0.100773808292885,0.0955955556737242,0.00356948790333403,0.199,0.00633542160362187,0.0119467950239727
"Stem-like","H: APOPTOSIS",161,103,0.106401406616306,0.110406355821829,-0.00332035341116495,-0.111,0.12802560358118,0.17244264972159
"Stem-like","H: HYPOXIA",161,103,0.0850263227165043,0.0841300342195315,0.00319820045192276,0.122,0.0938137412862362,0.137593487219813
"Stem-like","H: GLYCOLYSIS",161,103,0.0733113977362464,0.0762674387996841,-0.00285439026577278,-0.098,0.181269617717502,0.230072976333752
"Stem-like","H: FATTY ACID METABOLISM",161,103,0.0767663471453629,0.0813519365245675,-0.00254115958933776,-0.093,0.204993738742725,0.252550582768262
"Stem-like","GO: MITOCHONDRIAL BIOGENESIS",161,103,0.0994342816753493,0.102349721884107,-0.00153689541779546,-0.065,0.377100915562583,0.414811007118842
"Stem-like","GO: MITOPHAGY",161,103,0.115784455281009,0.114607568038794,0.0013655593332048,0.046,0.525720236107576,0.559637670695162
"Stem-like","H: REACTIVE OXYGEN SPECIES PATHWAY",161,103,0.134259259259259,0.134913102168227,0.000534937029038896,0.004,0.953220483767975,0.953220483767975
