"coarse_annot","condition","set","mean_score"
"Effector 2","Scr","GO_RIBOSOME_BIOGENESIS_UCell",0.266599392636673
"Effector 2","Scr","HALLMARK_APOPTOSIS_UCell",0.10338194530958
"Effector 2","Scr","HALLMARK_FATTY_ACID_METABOLISM_UCell",0.10366546396278
"Effector 2","Scr","HALLMARK_GLYCOLYSIS_UCell",0.104681180402165
"Effector 2","Scr","HALLMARK_HYPOXIA_UCell",0.101536831774952
"Effector 2","Scr","HALLMARK_IL2_STAT5_SIGNALING_UCell",0.114036357416372
"Effector 2","Scr","HALLMARK_MTORC1_SIGNALING_UCell",0.244552452666721
"Effector 2","Scr","HALLMARK_MYC_TARGETS_V1_UCell",0.485709873031071
"Effector 2","Scr","HALLMARK_MYC_TARGETS_V2_UCell",0.216949774922232
"Effector 2","Scr","HALLMARK_OXIDATIVE_PHOSPHORYLATION_UCell",0.303226185274197
"Effector 2","Scr","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY_UCell",0.145418090356872
"Effector 2","Scr","HALLMARK_TNFA_SIGNALING_VIA_NFKB_UCell",0.0707827035635845
"Effector 2","Scr","HALLMARK_UNFOLDED_PROTEIN_RESPONSE_UCell",0.212687631550755
"Effector 2","Scr","Module1_MetabolicStress_Hypoxia_UCell",0.141109916736781
"Effector 2","Scr","Module2_MetabolicResilience_OxFitness_UCell",0.0323042260382414
"Effector 2","Scr","Module3A_MitoOrganization_UCell",0.176493668475114
"Effector 2","Scr","Module3B_Mitophagy_Damage_UCell",0.085786023028586
"Effector 2","Scr","Module3_MitoQualityControl_UCell",0.144973076558754
"Effector 2","Scr","Module4_Activation_Anabolic_UCell",0.326980301474043
"Effector 2","miR29a","GO_AUTOPHAGY_UCell",0.0961863768422585
"Effector 2","miR29a","GO_MITOCHONDRIAL_BIOGENESIS_UCell",0.11632229696091
"Effector 2","miR29a","GO_MITOPHAGY_UCell",0.123857500065436
"Effector 2","miR29a","GO_RIBOSOME_BIOGENESIS_UCell",0.272458719764557
"Effector 2","miR29a","HALLMARK_APOPTOSIS_UCell",0.0951367713882462
"Effector 2","miR29a","HALLMARK_FATTY_ACID_METABOLISM_UCell",0.0995821242739169
"Effector 2","miR29a","HALLMARK_GLYCOLYSIS_UCell",0.104608875400647
"Effector 2","miR29a","HALLMARK_HYPOXIA_UCell",0.100912546645402
"Effector 2","miR29a","HALLMARK_IL2_STAT5_SIGNALING_UCell",0.106015051176073
"Effector 2","miR29a","HALLMARK_MTORC1_SIGNALING_UCell",0.241757531047074
"Effector 2","miR29a","HALLMARK_MYC_TARGETS_V1_UCell",0.489784554085297
"Effector 2","miR29a","HALLMARK_MYC_TARGETS_V2_UCell",0.222595973731768
"Effector 2","miR29a","HALLMARK_OXIDATIVE_PHOSPHORYLATION_UCell",0.287546608169848
"Effector 2","miR29a","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY_UCell",0.141477964818482
"Effector 2","miR29a","HALLMARK_TNFA_SIGNALING_VIA_NFKB_UCell",0.0613829899411056
"Effector 2","miR29a","HALLMARK_UNFOLDED_PROTEIN_RESPONSE_UCell",0.215216050879411
"Effector 2","miR29a","Module1_MetabolicStress_Hypoxia_UCell",0.129729527733017
"Effector 2","miR29a","Module2_MetabolicResilience_OxFitness_UCell",0.0289173710934572
"Effector 2","miR29a","Module3A_MitoOrganization_UCell",0.176936901074323
"Effector 2","miR29a","Module3B_Mitophagy_Damage_UCell",0.087075167948921
"Effector 2","miR29a","Module3_MitoQualityControl_UCell",0.144897856354988
"Effector 2","miR29a","Module4_Activation_Anabolic_UCell",0.311676004908121
"Stem-like","EV","GO_AUTOPHAGY_UCell",0.0963323702676707
"Stem-like","EV","GO_MITOCHONDRIAL_BIOGENESIS_UCell",0.101199701323888
"Stem-like","EV","GO_MITOPHAGY_UCell",0.11408149182413
"Stem-like","EV","GO_RIBOSOME_BIOGENESIS_UCell",0.214536702189845
"Stem-like","EV","HALLMARK_APOPTOSIS_UCell",0.111530074579495
"Stem-like","EV","HALLMARK_FATTY_ACID_METABOLISM_UCell",0.0783019589794663
"Stem-like","EV","HALLMARK_GLYCOLYSIS_UCell",0.0760956894635021
"Stem-like","EV","HALLMARK_HYPOXIA_UCell",0.0831900449019543
"Stem-like","EV","HALLMARK_IL2_STAT5_SIGNALING_UCell",0.0939083896744838
"Stem-like","EV","HALLMARK_MTORC1_SIGNALING_UCell",0.155823857750771
"Stem-like","EV","HALLMARK_MYC_TARGETS_V1_UCell",0.348636208722081
"Stem-like","EV","HALLMARK_MYC_TARGETS_V2_UCell",0.12185825628387
"Stem-like","EV","HALLMARK_OXIDATIVE_PHOSPHORYLATION_UCell",0.223902560836888
"Stem-like","EV","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY_UCell",0.135959650131588
"Stem-like","EV","HALLMARK_TNFA_SIGNALING_VIA_NFKB_UCell",0.060253079398012
"Stem-like","EV","HALLMARK_UNFOLDED_PROTEIN_RESPONSE_UCell",0.15117187467181
"Stem-like","EV","Module1_MetabolicStress_Hypoxia_UCell",0.098446699541525
"Stem-like","EV","Module2_MetabolicResilience_OxFitness_UCell",0.0353683586122193
"Stem-like","EV","Module3A_MitoOrganization_UCell",0.129599041004981
"Stem-like","EV","Module3B_Mitophagy_Damage_UCell",0.0914324646567876
"Stem-like","EV","Module3_MitoQualityControl_UCell",0.116694873119773
"Stem-like","EV","Module4_Activation_Anabolic_UCell",0.21308727616101
"Stem-like","Scr","GO_AUTOPHAGY_UCell",0.0937241099374354
"Stem-like","Scr","GO_MITOCHONDRIAL_BIOGENESIS_UCell",0.100758207121224
"Stem-like","Scr","GO_MITOPHAGY_UCell",0.109831777637192
"Stem-like","Scr","GO_RIBOSOME_BIOGENESIS_UCell",0.215021631817661
"Stem-like","Scr","HALLMARK_APOPTOSIS_UCell",0.103567090034378
"Stem-like","Scr","HALLMARK_FATTY_ACID_METABOLISM_UCell",0.0790809393796161
"Stem-like","Scr","HALLMARK_GLYCOLYSIS_UCell",0.078421855654022
"Stem-like","Scr","HALLMARK_HYPOXIA_UCell",0.0814669064958615
"Stem-like","Scr","HALLMARK_IL2_STAT5_SIGNALING_UCell",0.0859330685265182
"Stem-like","Scr","HALLMARK_MTORC1_SIGNALING_UCell",0.152874975592396
"Stem-like","Scr","HALLMARK_MYC_TARGETS_V1_UCell",0.356116677354747
"Stem-like","Scr","HALLMARK_MYC_TARGETS_V2_UCell",0.128399614838234
"Stem-like","Scr","HALLMARK_OXIDATIVE_PHOSPHORYLATION_UCell",0.220944798717434
"Stem-like","Scr","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY_UCell",0.133681320455414
"Stem-like","Scr","HALLMARK_TNFA_SIGNALING_VIA_NFKB_UCell",0.0547333157013136
"Stem-like","Scr","HALLMARK_UNFOLDED_PROTEIN_RESPONSE_UCell",0.145487427407094
"Stem-like","Scr","Module1_MetabolicStress_Hypoxia_UCell",0.0932782912761132
"Stem-like","Scr","Module2_MetabolicResilience_OxFitness_UCell",0.0419842200887953
"Stem-like","Scr","Module3A_MitoOrganization_UCell",0.13713869864564
"Stem-like","Scr","Module3B_Mitophagy_Damage_UCell",0.0968128483073252
"Stem-like","Scr","Module3_MitoQualityControl_UCell",0.121917385715498
"Stem-like","Scr","Module4_Activation_Anabolic_UCell",0.219559089541078
"Stem-like","miR29a","GO_AUTOPHAGY_UCell",0.0999018581710047
"Stem-like","miR29a","GO_MITOCHONDRIAL_BIOGENESIS_UCell",0.0996628059060922
"Stem-like","miR29a","GO_MITOPHAGY_UCell",0.115447051157335
"Stem-like","miR29a","GO_RIBOSOME_BIOGENESIS_UCell",0.209791848848155
"Stem-like","miR29a","HALLMARK_APOPTOSIS_UCell",0.10820972116833
"Stem-like","miR29a","HALLMARK_FATTY_ACID_METABOLISM_UCell",0.0757607993901285
"Stem-like","miR29a","HALLMARK_GLYCOLYSIS_UCell",0.0732412991977294
"Stem-like","miR29a","HALLMARK_HYPOXIA_UCell",0.086388245353877
"Stem-like","miR29a","HALLMARK_IL2_STAT5_SIGNALING_UCell",0.0999390381130891
"Stem-like","miR29a","HALLMARK_MTORC1_SIGNALING_UCell",0.148426578003913
"Stem-like","miR29a","HALLMARK_MYC_TARGETS_V1_UCell",0.334310388535964
"Stem-like","miR29a","HALLMARK_MYC_TARGETS_V2_UCell",0.116640559627389
"Stem-like","miR29a","HALLMARK_OXIDATIVE_PHOSPHORYLATION_UCell",0.213718765451974
"Stem-like","miR29a","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY_UCell",0.136494587160627
"Stem-like","miR29a","HALLMARK_TNFA_SIGNALING_VIA_NFKB_UCell",0.056406246663195
"Stem-like","miR29a","HALLMARK_UNFOLDED_PROTEIN_RESPONSE_UCell",0.145168438857349
"Stem-like","miR29a","Module1_MetabolicStress_Hypoxia_UCell",0.088619756828942
"Stem-like","miR29a","Module2_MetabolicResilience_OxFitness_UCell",0.0466476445650724
"Stem-like","miR29a","Module3A_MitoOrganization_UCell",0.133350026574137
"Stem-like","miR29a","Module3B_Mitophagy_Damage_UCell",0.10031237514075
"Stem-like","miR29a","Module3_MitoQualityControl_UCell",0.122709581788866
"Stem-like","miR29a","Module4_Activation_Anabolic_UCell",0.20054127336217
