miRNA,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,contrast,sig
mmu-miR-425-5p,5.64578599819588,4.39513804089558,2.94784035430281,1.49096881534993,0.1359696824801,0.350121932386257,Teff_vs_Tn,FALSE
mmu-let-7d-3p,27.14328347852,-1.7439404214225,1.19491940305624,-1.45946280306607,0.14443777132435,0.359019844640725,Teff_vs_Tn,FALSE
mmu-let-7f-5p,160.321749811471,-0.773358841531911,0.532787010012382,-1.45153471649757,0.146631022445053,0.359019844640725,Teff_vs_Tn,FALSE
mmu-miR-320-3p,3.60995046783168,-4.00017761826815,2.77800116510096,-1.43994814275852,0.149882071063604,0.359019844640725,Teff_vs_Tn,FALSE
mmu-miR-324-5p,3.95745928822837,3.03005229997402,2.12359420838179,1.42685089647281,0.15362287705769,0.359617189475955,Teff_vs_Tn,FALSE
mmu-miR-33-5p,42.002853339889,1.84191839492316,1.31579734801971,1.39984960274868,0.161558360407691,0.369789136044271,Teff_vs_Tn,FALSE
mmu-miR-25-3p,742.958270402314,0.910109548046539,0.656240054677967,1.38685461449492,0.165486099580588,0.37054496210436,Teff_vs_Tn,FALSE
mmu-miR-140-3p,54.886368005526,0.817151057350889,0.607860807721548,1.34430620788635,0.17884938895658,0.391946533245272,Teff_vs_Tn,FALSE
mmu-miR-690,46.7545446826816,1.48837694434121,1.1369676130978,1.30907593777975,0.190508629092265,0.408799766593819,Teff_vs_Tn,FALSE
mmu-miR-16-5p,337.436266270721,-0.642808784913189,0.499587275602455,-1.28667965799974,0.198205966108293,0.416637030799065,Teff_vs_Tn,FALSE
mmu-miR-3473a,8.49817048111529,-3.07342971791185,2.41428409041074,-1.27301908260057,0.203011270450107,0.418203217127219,Teff_vs_Tn,FALSE
mmu-miR-23b-3p,48.0544308532919,1.44920205186987,1.15778793782556,1.25169904135607,0.21067954954194,0.425490070643527,Teff_vs_Tn,FALSE
mmu-miR-92a-3p,872.713783224113,0.466959333670336,0.383859548164025,1.21648487292754,0.223800270065865,0.443296688784309,Teff_vs_Tn,FALSE
mmu-miR-15a-5p,74.3290686410287,0.816329944585795,0.696756977288583,1.17161359153162,0.241352228758043,0.451986901128698,Teff_vs_Tn,FALSE
