miRNA,Tn,Teff,Tmem,Tex
mmu-miR-193a-3p,0.323748777992457,0,2.40859474246714,0
mmu-miR-19a-3p,0.663995971281913,1.35662240647444,2.78238783553067,0
mmu-miR-19b-3p,3.74290504718627,3.36197365886086,5.41190135243071,4.70995497369472
mmu-miR-20a-3p,0,1.71154781995868,2.67483749353848,0
mmu-miR-20a-5p,5.27162275328716,6.12885250993372,7.43247851862538,5.97483289372346
mmu-miR-20b-5p,3.59052295937526,3.65991203217974,5.20071890956872,1.33301486057475
mmu-miR-210-3p,0,5.02232625450886,8.63262148345476,6.40690609062885
mmu-miR-219a-5p,4.56368994369251,4.72817685801631,4.76717291935979,2.15056718633383
mmu-miR-21a-3p,0,3.7197643332125,2.38815727697505,2.15056718633383
mmu-miR-21a-5p,2.11436037061407,10.9768867125506,7.42064040697568,8.26044475359041
mmu-miR-222-3p,0,0,2.09958593517158,0
mmu-miR-23a-3p,4.48177153025081,4.9554483900573,7.12503044008069,6.12869001222324
mmu-miR-23b-3p,2.2646450148537,5.03446048995454,6.20995234614522,6.24050770997229
mmu-miR-24-3p,10.2400708897139,12.202560851285,12.3299150169664,11.5413308698666
mmu-miR-25-3p,8.82113604180005,9.85458185743596,9.06215411883203,9.87336622079128
mmu-miR-26a-5p,9.26270955162261,8.30113458329824,7.4750623684376,6.6084254159753
mmu-miR-26b-5p,8.69403581934047,7.75805727122923,7.68480336736187,6.59436895267105
mmu-miR-27a-3p,6.66556991126594,4.9554483900573,6.97813276276207,6.31094157836938
mmu-miR-27b-3p,4.72982601793367,5.53984113020358,5.58038595952089,6.1630820387645
mmu-miR-29a-3p,8.08502184828154,8.13454256089146,7.67918895398962,8.74576733114601
mmu-miR-29b-3p,5.77583967263083,6.31028028826916,6.22444463585666,6.32624042725798
mmu-miR-29c-3p,3.14451420031079,4.30146540661795,3.55879546583322,5.75619522383731
mmu-miR-301a-3p,0,2.85185993944874,2.24301724722712,3.70146406256098
mmu-miR-30b-5p,5.03506131429571,1.49524483688312,2.4859275325967,0
mmu-miR-30c-5p,4.88184784406327,5.82684774491002,5.99201135479747,5.39573217604208
mmu-miR-30d-5p,5.64672314517244,3.97652118177707,4.60141553170672,3.0956244548848
mmu-miR-30e-3p,0.405844420499071,2.8518601621996,1.83715095909591,1.58657989035456
mmu-miR-30e-5p,6.23908542246772,5.01148689917313,5.25839400163442,4.43041020093205
mmu-miR-31-5p,0,1.35661532531648,4.77902517949767,3.42757823138755
mmu-miR-320-3p,1.56393762886032,0,1.80624756883332,3.0956244548848
mmu-miR-324-5p,0.607595044275043,2.99048236985742,2.55576666920698,1.47088199519087
mmu-miR-326-3p,0.323748777992457,0,3.16327884120994,0
mmu-miR-33-5p,2.36881659575065,5.39327667050064,5.97395801067822,5.36747440856016
mmu-miR-342-3p,6.00533745381783,6.20325684330934,6.09095679906285,5.63306108806902
mmu-miR-342-5p,0.405844420499071,1.18486754524612,2.15098362193127,1.33301486057475
mmu-miR-345-5p,1.80649808342109,0,0,0
mmu-miR-3470b,3.81729528552039,3.15602952792632,2.88402017343143,0
mmu-miR-3473a,4.26675248560123,1.35662240647444,1.52565370721556,1.58657989035456
mmu-miR-3473b,7.10560353813053,7.25139510212411,5.9500987384346,8.75835921965272
mmu-miR-34a-3p,0,3.20678508056055,1.04654489663578,1.58657989035456
mmu-miR-34a-5p,1.40065366292202,8.26422449011332,6.60216739015187,7.80987014464422
mmu-miR-3535,4.27639866962489,5.47585256193401,5.0576110538813,6.4253734390244
mmu-miR-361-5p,4.00607182808853,3.75545529544233,3.02736517745812,1.77382380563277
mmu-miR-362-3p,0,1.94837200649646,1.58751536364013,0
mmu-miR-365-3p,0,0,1.4469001739595,4.61353866057461
mmu-miR-378a-3p,6.27063823753964,5.40872389907146,5.68622444073327,4.39464527602856
mmu-miR-378b,4.92263434762526,2.8518601621996,2.98228678342591,1.33301486057475
mmu-miR-378c,2.40444158070897,1.18486754524612,1.83715095909591,0
mmu-miR-3960,2.52363548087483,2.36972835185353,0,1.33301486057475
mmu-miR-3963,1.2268297319124,3.20678508056055,1.10781043628355,1.58657989035456
mmu-miR-423-3p,3.3555749297183,3.76453785258858,4.78148293468769,5.5508509601798
mmu-miR-423-5p,3.8642643793386,5.29915451319571,4.9362937863325,5.23807143022784
mmu-miR-425-5p,0,1.18486754524612,4.1048458550826,1.57567884775398
mmu-miR-449c-5p,0,1.35662240647444,3.63313255105886,2.78923560638776
mmu-miR-466f-3p,7.61391872707203,8.29656514426493,8.10075806503295,8.37319681460641
mmu-miR-466h-3p,4.49538014344519,3.3049866186955,2.48696676453528,4.27209218309344
mmu-miR-466i-5p,12.6827473183813,11.1320948398622,10.1295900387818,10.7384346598041
mmu-miR-484,5.27855474477319,5.42980529590928,6.13836883497196,5.71204270072522
mmu-miR-5114,0,0,3.73962021131726,1.92234365586146
mmu-miR-5121,6.28957054955261,6.46536361076306,6.11018881793062,7.35692215575519
mmu-miR-574-5p,0.607595044275043,0,3.03262171423074,0
mmu-miR-6236,5.04046295926167,6.74811058273745,4.96269739330543,7.08307286942542
mmu-miR-652-3p,4.01240859116423,4.70546026874739,4.21167136880874,2.284134838559
mmu-miR-664-3p,4.2107957361187,0,1.59818719628293,0
mmu-miR-669l-5p,3.14790150670808,3.58927159939848,3.06894313439167,1.58657989035456
mmu-miR-669o-5p,2.39337024351133,0,0,0
mmu-miR-669p-5p,4.11116716862496,3.81211474059981,2.83627904872701,2.04544383798428
mmu-miR-671-5p,1.12795048866995,3.51095494141057,5.0260388033657,3.96050108451403
mmu-miR-677-3p,0,0,0.889078231090364,3.78250568881165
mmu-miR-677-5p,0,0,2.2915988116119,3.50477992689101
mmu-miR-690,4.49923601784893,5.66605404829967,4.86258963845804,5.76765484614349
mmu-miR-692,0.405844420499071,0,1.4469001739595,0
mmu-miR-703,1.72440244091448,3.92238278401864,3.77486396745666,4.00440587300289
mmu-miR-706,5.02910087798265,2.01269977700871,2.44309678212353,4.46624707300316
mmu-miR-7238-3p,2.24945421077331,1.18486754524612,1.4469001739595,0
mmu-miR-744-5p,0.663995971281913,4.87826275698643,4.82307163737685,2.09991879820261
mmu-miR-7a-5p,4.04251579111672,4.02393361460499,4.53891131564559,4.01085155289762
mmu-miR-8104,2.40253649037907,3.06816265015186,0,1.57567884775398
mmu-miR-92a-3p,9.2856814006953,9.752072857138,10.0642336293489,9.87139803425141
mmu-miR-93-5p,2.45982540262812,4.51441516134305,5.14919364091139,3.93683827615241
mmu-miR-98-5p,0.479544248766566,0,3.30880745364799,1.33301486057475
