miRNA,state,mean_logN,mean_norm,rel_pct
mmu-miR-155-3p,Teff,1.61147370024692,4.16846219577694,0.0215626819743987
mmu-miR-155-3p,Tmem,0.889078231090364,1.21493805047775,0.00729712985217926
mmu-miR-155-3p,Tex,3.07335261590261,8.5758116296035,0.0465310538016294
mmu-miR-155-5p,Tn,6.66055313384209,100.639451194525,0.50976504873537
mmu-miR-155-5p,Teff,9.18350170347796,589.833377186749,3.05109868647685
mmu-miR-155-5p,Tmem,10.4538297607452,1449.12517901934,8.70369859533862
mmu-miR-155-5p,Tex,11.7414921662882,3984.48639592757,21.6192191326547
mmu-miR-15a-5p,Tn,5.52876403091798,45.4525510986034,0.230229017059535
mmu-miR-15a-5p,Teff,6.34843161849395,80.5898265316284,0.416876228752646
mmu-miR-15a-5p,Tmem,6.78643821746156,109.387907470319,0.657002852742331
mmu-miR-15a-5p,Tex,5.78344265955972,61.885989463564,0.335783996858768
mmu-miR-15b-3p,Tn,2.72345880052,5.80867763148292,0.0294224660484043
mmu-miR-15b-3p,Teff,3.42308806363611,9.72635546092656,0.0503126332263224
mmu-miR-15b-3p,Tmem,3.0836353743027,7.48737472168782,0.0449704785973211
mmu-miR-15b-3p,Tex,1.33301486057475,2.67340074773564,0.0145054671673047
mmu-miR-15b-5p,Tn,8.39555311744237,338.479685424007,1.71448782051277
mmu-miR-15b-5p,Teff,8.38137552110598,332.780389192674,1.72141124531437
mmu-miR-15b-5p,Tmem,7.73741618723896,213.013502878266,1.27939625412097
mmu-miR-15b-5p,Tex,7.05181933250024,144.978799628153,0.786632987868596
mmu-miR-16-5p,Tn,9.07663965396754,540.827621750173,2.7394328534843
mmu-miR-16-5p,Teff,8.42520937262999,346.674796450777,1.79328443759923
mmu-miR-16-5p,Tmem,8.18760979428182,290.913158498253,1.74727517377087
mmu-miR-16-5p,Tex,7.38366761976062,171.329488383683,0.929607830268466
mmu-miR-17-3p,Tn,0.607595044275043,0.66085685804403,0.00334741221707145
mmu-miR-17-3p,Teff,0,0,0
mmu-miR-17-3p,Tmem,2.47974789502618,4.63913233691693,0.0278634380169548
mmu-miR-17-3p,Tex,3.47193773583449,11.8724662440581,0.0644182019639159
mmu-miR-17-5p,Tn,5.17215756613937,47.775666210232,0.241996200545147
mmu-miR-17-5p,Teff,6.27459468197639,77.1160436588967,0.398906994100905
mmu-miR-17-5p,Tmem,7.59478109445631,192.313544587467,1.15506869394351
mmu-miR-17-5p,Tex,5.71900084068403,51.7028995388031,0.28053209469242
mmu-miR-181a-5p,Tn,5.16322866264108,37.2428134421025,0.188644556225368
mmu-miR-181a-5p,Teff,1.18486754524612,2.08423109788847,0.0107813409871993
mmu-miR-181a-5p,Tmem,1.70514059187016,2.33532473024376,0.0140263676793176
mmu-miR-181a-5p,Tex,1.68626035170127,4.67845130853737,0.0253845675427832
mmu-miR-182-5p,Tn,0,0,0
mmu-miR-182-5p,Teff,5.98732484866987,66.6951456744583,0.345001621190544
mmu-miR-182-5p,Tmem,5.53966877902288,45.55179775585,0.273592042897938
