"BaselineProp.clusters","BaselineProp.Freq","PropMean.EV","PropMean.miR29a","PropRatio","Tstatistic","P.Value","FDR","cluster","contrast","PropMean.Scr"
"4",0.0531907067080617,NA,0.0389299452411729,1.80717894306713,1.84194174819489,0.0760990444069806,0.213077324339546,"4","miR29a_vs_Scr",0.070353377294604
"2",0.15905713402881,NA,0.136083132622462,1.37716006265412,1.13352099306159,0.266608077045861,0.622085513107009,"2","miR29a_vs_Scr",0.18740825544852
"0",0.249547547930492,NA,0.275855849769954,0.789894569864059,-0.908577007299744,0.37132786064391,0.695429202106814,"0","miR29a_vs_Scr",0.217897037798522
"5",0.0507776290040169,NA,0.0582939302306212,0.740128789895804,-0.859455440069071,0.397388115489608,0.695429202106814,"5","miR29a_vs_Scr",0.0431450160398601
"7",0.0418315848329238,NA,0.0458341588836182,0.806374488828479,-0.640251175305702,0.527214393146891,0.820111278228498,"7","miR29a_vs_Scr",0.0369594964406609
"13",0.00397274987861042,NA,0.00363109794991065,1.21841906314067,0.479621227886248,0.635221981047689,0.889310773466765,"13","miR29a_vs_Scr",0.00442419896230213
"3",0.110339449406295,NA,0.113646321532893,0.92123316895593,-0.280254454766087,0.781342508013551,0.970111414471673,"3","miR29a_vs_Scr",0.104694760925931
"1",0.232229301237438,NA,0.23756627733773,0.941761721275098,-0.208823190682384,0.836098017160989,0.970111414471673,"1","miR29a_vs_Scr",0.223730826262498
"6",0.0402277709930403,NA,0.0392037873957272,1.15096788947831,0.0832440161812394,0.940943935153187,0.970111414471673,"6","miR29a_vs_Scr",0.0451223004384166
"9",0.0158468578491238,NA,0.0158563994550581,0.972810606305034,-0.0378049997962453,0.970111414471673,0.970111414471673,"9","miR29a_vs_Scr",0.0154252735676899
"8",0.0367417894786299,0.0497406999016727,NA,0.493787323385196,-1.98465826132447,0.0570598157112336,0.79883741995727,"8","EV_vs_Scr",0.0245613270677533
"11",0.00507431363643482,0.00635916715919405,NA,0.603642702099155,-1.32593021227415,0.195578676990105,0.9632822993526,"11","EV_vs_Scr",0.0038386648470761
"12",0.00194202126826518,0.00232010209207335,NA,0.712545612891805,-1.12010041076855,0.272187146184207,0.9632822993526,"12","EV_vs_Scr",0.00165317856716796
"10",0.0176191445709543,0.014069600051659,NA,1.47738999421994,1.08554566699044,0.286938114369421,0.9632822993526,"10","EV_vs_Scr",0.0207862863389975
"3",0.120045105010102,0.134810912916276,NA,0.776604494852373,-0.791193667037445,0.435482180310661,0.9632822993526,"3","EV_vs_Scr",0.104694760925931
"2",0.168532990869368,0.15178903729901,NA,1.23466265274048,0.790937273248257,0.435629336972996,0.9632822993526,"2","EV_vs_Scr",0.18740825544852
"6",0.051494886532709,0.0618085973908033,NA,0.730032751805018,-0.746742780596687,0.4816411496763,0.9632822993526,"6","EV_vs_Scr",0.0451223004384166
"4",0.0673129629919657,0.0663268497557871,NA,1.06070735386412,0.418249628771292,0.678955151594739,0.97537318227242,"4","EV_vs_Scr",0.070353377294604
"0",0.209816604281844,0.197153683432369,NA,1.10521413551611,0.407458914716885,0.686769514164496,0.97537318227242,"0","EV_vs_Scr",0.217897037798522
"13",0.00408764154046139,0.00384261949834833,NA,1.15134974051003,0.380533746552788,0.706420963420875,0.97537318227242,"13","EV_vs_Scr",0.00442419896230213
"5",0.044995379868757,0.046547932573151,NA,0.926894357167354,-0.23256086931888,0.817793968043925,0.97537318227242,"5","EV_vs_Scr",0.0431450160398601
"1",0.219464064775806,0.21269993403671,NA,1.05186128653846,0.208905789829417,0.836034156233503,0.97537318227242,"1","EV_vs_Scr",0.223730826262498
"9",0.0155205086842806,0.0153254463675585,NA,1.00651382007004,0.0524096061192304,0.958574450501873,0.975953701247684,"9","EV_vs_Scr",0.0154252735676899
"7",0.037352586490423,0.0372054175253879,NA,0.99339018075636,0.0304126537698067,0.975953701247684,0.975953701247684,"7","EV_vs_Scr",0.0369594964406609
