"method","level","group","contrast","n_tested_universe","n_in_target_top","n_in_target_full","n_sig_down","n_sig_up","spearman_rho","spearman_p","spearman_n","hyper_top_overlap","hyper_top_expected","hyper_top_odds","hyper_top_p","hyper_full_overlap","hyper_full_p","hyper_top_overlap_UP","hyper_top_p_UP","hyper_top_p_BH","hyper_full_p_BH","spearman_p_BH"
"DGE_pseudobulk","by_cluster","09_Treg","EV_vs_Scr",10290,99,622,1,0,-0.00570804408580791,0.887022336488349,622,0,0.00962099125364431,0,1,0,1,0,NA,1,1,0.931373453312767
"DGE_pseudobulk","by_cluster","09_Treg","miR29a_vs_EV",10320,101,624,1,0,0.144138339883673,0.000303569793656066,624,0,0.00978682170542636,0,1,0,1,0,NA,1,1,0.000531247138898115
"DGE_pseudobulk","by_cluster","09_Treg","miR29a_vs_Scr",10352,98,628,12,0,0.17385198213328,1.17894098590001e-05,628,0,0.113601236476043,0,1,0,1,0,NA,1,1,2.60608007409475e-05
"DGE_pseudobulk","by_cluster","10_Transitional_activated_CD4","EV_vs_Scr",10362,100,609,0,0,-0.00596533030996729,0.883202397038535,609,0,NA,NA,NA,0,NA,0,NA,NA,NA,0.931373453312767
"DGE_pseudobulk","by_cluster","10_Transitional_activated_CD4","miR29a_vs_EV",9821,94,589,16,4,0.192926246497876,2.39790133806829e-06,589,1,0.153141227980857,6.89858156028369,0.142725428679894,1,0.628548229104729,0,1,0.285450857359787,1,9.18021701981332e-06
"DGE_pseudobulk","by_cluster","10_Transitional_activated_CD4","miR29a_vs_Scr",9910,95,595,8,0,0.191234660367843,2.62291914851809e-06,595,1,0.0766902119071645,14.7593984962406,0.0741911825447215,1,0.390750449288629,0,NA,0.157110739506469,0.827471539670038,9.18021701981332e-06
"DGE_pseudobulk","by_cluster","11_CX3CR1_KLRG1_differentiated_effector_CD4","EV_vs_Scr",4669,45,340,0,0,-0.0929468545111136,0.08703499418643,340,0,NA,NA,NA,0,NA,0,NA,NA,NA,0.130552491279645
"DGE_pseudobulk","by_cluster","11_CX3CR1_KLRG1_differentiated_effector_CD4","miR29a_vs_EV",6296,62,415,0,0,0.153502614933034,0.00171116658746528,415,0,NA,NA,NA,0,NA,0,NA,NA,NA,0.00287475986694168
"DGE_pseudobulk","by_cluster","11_CX3CR1_KLRG1_differentiated_effector_CD4","miR29a_vs_Scr",4774,46,345,0,0,0.0484247768186608,0.369872530464629,345,0,NA,NA,NA,0,NA,0,NA,NA,NA,0.456901361162189
"DGE_pseudobulk","by_cluster","12_Intermediate_activated_CD4","EV_vs_Scr",1152,12,111,0,0,-0.107533313876442,0.261280467249415,111,0,NA,NA,NA,0,NA,0,NA,NA,NA,0.365792654149181
