"","baseMean","avg_log2FC","lfcSE","p_val","p_val_adj"
"Rps20",484.96366787067,1.23092359649705,0.34553415821155,5.58956768943681e-05,0.00109489767093086
"Rpl15",164.877124300166,1.31521170942592,0.379559279714246,6.04895216838498e-05,0.00116209677234934
"Hnrnpab",143.603740615886,1.33871015491214,0.390034618105465,6.2475100740986e-05,0.0011775967101933
"Fth1",122.291716512168,1.40095992472035,0.418252455592344,6.61903800378802e-05,0.00122452203070078
"Lcp1",179.582181741,1.40493093188581,0.426663449924909,7.62118513376361e-05,0.00138428435429634
"Rps28",217.464773296221,1.2882597020043,0.381531607589408,8.35583497015679e-05,0.00148107149072941
"Cfl1",120.530176531212,1.41152878409967,0.434880771326303,8.45055805521286e-05,0.00148107149072941
"Rpl34",238.203042679143,1.23297332500935,0.361165361373919,8.63087405866613e-05,0.00148659365251853
"Naca",105.648537778849,1.37575816912686,0.421341912212019,8.91246833992263e-05,0.00149053537827141
"Rpl3",173.582101322425,1.27334324350588,0.37836317519004,8.95216443406252e-05,0.00149053537827141
"B2m",193.895684611185,1.2825277534983,0.382810952650069,9.11828065739003e-05,0.00149330530766109
"Eef2",128.345349888251,1.42985165178856,0.455527129446153,0.000104338442625655,0.00168119522875853
"Hmgb1",114.516929495274,1.31702249641398,0.405943355477104,0.000110568111805261,0.00172589912021025
"Rps5",188.174069698912,1.25649570092927,0.380308132195396,0.000110404149462045,0.00172589912021025
"Rps7",260.03060074204,1.29290762920616,0.404129620357624,0.000132208076794724,0.00200114952602923
"Pgk1",68.4382906887358,1.41577045719707,0.462393340081859,0.000130521454443252,0.00200114952602923
"Canx",102.116245971749,1.33300382725349,0.428250032540661,0.00014706125107085,0.00219274910178774
"Rps17",138.620609322698,1.25900732386223,0.398349627369998,0.000158760981970976,0.00226574601412864
"Rps25",144.757239259577,1.26366816461729,0.400393587145401,0.000158678603816296,0.00226574601412864
"Hsp90ab1",228.484476634877,1.17262445337755,0.361524729049861,0.000157565792261,0.00226574601412864
"Nap1l1",84.8320553764211,1.36198458736362,0.454836758546627,0.000178272285322814,0.00250836638080973
"Cdc42",95.0120094718805,1.29324962630279,0.423776882601672,0.000188983838395214,0.00262215075773359
"Malat1",993.571878136341,-1.06267583044533,0.330269491999776,0.000210628916241975,0.00288244229213332
"Ncl",283.226857678377,1.11723057052856,0.353565396802876,0.000219117761439586,0.00295808977943442
"Osbpl3",42.231333796816,-1.38051775706431,0.482420825067373,0.000224266344201323,0.00298722770476163
"Fau",284.966891086784,1.11688306504327,0.361604440553911,0.000260893187927921,0.00342937229921043
"Rpl23a",333.313350526702,1.10411870985125,0.360417806671043,0.000284256054008027,0.00368794542797427
"Rpl7",152.762931980467,1.17060693838924,0.392313422838025,0.000297458142622361,0.00380975236512486
"Rpl7a",139.565752484144,1.23810989180753,0.436834186996614,0.000351921708358225,0.00439462233312333
"Fhit",37.4112544193518,-1.35344181467921,0.505554949518657,0.000348588838494834,0.00439462233312333
"Hmgb2",331.583795983784,1.05800685856061,0.35509785705613,0.000377191105988674,0.00465202364052698
"Rplp0",250.923186043636,1.07244083906258,0.367095955647387,0.000418592889480484,0.00497826543560718
"Hnrnpf",113.774949093655,1.17453813114912,0.415196235202067,0.000414263121745663,0.00497826543560718
"Rpl24",181.018553249494,1.11350357098777,0.385454277850206,0.000415160304838744,0.00497826543560718
"H3f3a",68.1678990454081,1.28585170627779,0.481473495912711,0.000430128099179099,0.00505527024799906
"Gzmb",169.938291419136,1.2124412372149,0.439397981116149,0.000437685519887378,0.00508427714380804
"Pclaf",62.7798742803954,1.28032216756396,0.483494671291694,0.000455803182523664,0.00523387792346138
"Rps21",264.119211556894,1.06235189035349,0.36989440970492,0.000475500005142332,0.00538886781799418
"Rpl21",122.150884822592,1.16979147717392,0.423336141548352,0.000480089325126609,0.00538886781799418
"H1f4",143.705939520703,1.11053978385456,0.413074648216415,0.000635684604087308,0.00704263814016631
"Rps18",148.249331411327,1.0887662273604,0.402384262260348,0.000641521592347482,0.00704263814016631
"Rpsa",397.791729358206,1.00673549095891,0.363413104591409,0.000651482623993235,0.00707425153662219
"Rpl22",203.406074119881,1.08002752261454,0.40189891107006,0.000677534985158848,0.00727803709864182
"Rpl37",232.983223721846,1.02649673554562,0.385904648065338,0.000790533475356195,0.0084015206583068
"Rpl28",265.706930525679,0.990284408970133,0.373891617056992,0.000859538556579477,0.00903872650550418
"Rpl35a",185.928467147556,1.02943328547452,0.394677330043025,0.000871992521498432,0.00907417217684306
"Hsp90aa1",92.4320691743292,1.12036344103965,0.457527997980849,0.000984367104280514,0.0101379663626416
